,cell,x,y,celltype
359,CC2x14,2,14,TDuct_epithelium
360,CC2x15,2,15,TDuct_epithelium
361,CC2x16,2,16,TDuct_epithelium
362,CC2x17,2,17,TDuct_epithelium
363,CC2x18,2,18,TDuct_epithelium
364,CC30x20,30,20,TCancer_region
365,CC30x21,30,21,TCancer_region
366,CC30x22,30,22,TCancer_region
367,CC3x13,3,13,TDuct_epithelium
368,CC3x14,3,14,TDuct_epithelium
369,CC3x15,3,15,TDuct_epithelium
370,CC3x16,3,16,TDuct_epithelium
371,CC3x17,3,17,TDuct_epithelium
372,CC3x18,3,18,TDuct_epithelium
373,CC4x10,4,10,TDuct_epithelium
374,CC4x11,4,11,TDuct_epithelium
375,CC4x13,4,13,TDuct_epithelium
376,CC4x14,4,14,TDuct_epithelium
377,CC4x15,4,15,TStroma
378,CC4x16,4,16,TDuct_epithelium
379,CC4x17,4,17,TDuct_epithelium
380,CC4x8,4,8,TStroma
381,CC4x9,4,9,TDuct_epithelium
382,CC5x10,5,10,TDuct_epithelium
383,CC5x11,5,11,TDuct_epithelium
384,CC5x13,5,13,TDuct_epithelium
385,CC5x14,5,14,TCancer_region
386,CC5x15,5,15,TDuct_epithelium
387,CC5x16,5,16,TDuct_epithelium
388,CC5x17,5,17,TDuct_epithelium
389,CC5x8,5,8,TStroma
390,CC5x9,5,9,TDuct_epithelium
391,CC6x10,6,10,TDuct_epithelium
392,CC6x11,6,11,TDuct_epithelium
393,CC6x13,6,13,TDuct_epithelium
394,CC6x14,6,14,TDuct_epithelium
395,CC6x15,6,15,TDuct_epithelium
396,CC6x16,6,16,TDuct_epithelium
397,CC6x31,6,31,TDuct_epithelium
398,CC6x32,6,32,TDuct_epithelium
399,CC6x33,6,33,TDuct_epithelium
400,CC6x9,6,9,TDuct_epithelium
401,CC7x10,7,10,TDuct_epithelium
402,CC7x11,7,11,TDuct_epithelium
403,CC7x13,7,13,TDuct_epithelium
404,CC7x14,7,14,TDuct_epithelium
405,CC7x31,7,31,TDuct_epithelium
406,CC7x32,7,32,TDuct_epithelium
407,CC7x33,7,33,TDuct_epithelium
408,CC8x10,8,10,TDuct_epithelium
409,CC8x11,8,11,TDuct_epithelium
410,CC8x13,8,13,TDuct_epithelium
411,CC8x14,8,14,TDuct_epithelium
412,CC8x31,8,31,TDuct_epithelium
413,CC8x32,8,32,TDuct_epithelium
414,CC8x33,8,33,TCancer_region
415,CC9x10,9,10,TDuct_epithelium
416,CC9x11,9,11,TDuct_epithelium
417,CC9x13,9,13,TDuct_epithelium
418,CC9x16,9,16,TDuct_epithelium
419,CC9x17,9,17,TDuct_epithelium
420,CC9x18,9,18,TDuct_epithelium
421,CC9x26,9,26,TDuct_epithelium
422,CC9x27,9,27,TDuct_epithelium
423,CC9x29,9,29,TDuct_epithelium
424,CC9x30,9,30,TDuct_epithelium
425,CC9x31,9,31,TStroma
426,CC9x32,9,32,TStroma
427,CC9x33,9,33,TCancer_region
