gene,time,kappa,nu,U_tilde,e_tilde,I_tilde,pval,padj
AGRN_LRP1,0.023171424865722656,25.280850184826924,16.788721965649255,1987.9929641183696,424.43316480829185,21460.062505980764,5.634107624885587e-10,1.0787787467804186e-09
GPC3_LRP1,0.024994373321533203,50.932453699343895,16.78872196568806,7300.675260116093,855.0908041885649,87103.74558613764,0.0,0.0
PDGFB_LRP1,0.0257110595703125,59.800990023845266,16.788721965709367,3218.4603444671175,1003.9821947844978,120078.25842885206,9.259224756918982e-06,1.2230099010475874e-05
A2M_LRP1,0.027878522872924805,42.096437663544975,16.788721965645706,1977.0365611690859,706.7453876773927,59502.92631271858,0.0001094381153436963,0.00013481902488724683
SERPINA1_LRP1,0.025362491607666016,22.577174354262386,16.788721965666056,4200.945558340805,379.0419030040773,17115.39026338893,0.0,0.0
HSPG2_LRP1,0.023296594619750977,29.966085553910077,16.788721965647103,1975.4311609260287,503.0922787633904,30151.41253387067,9.196430139635225e-08,1.45736502639317e-07
APOE_LRP1,0.026580810546875,27.471882729602115,16.78872196564715,3813.473095044394,461.2178010201536,25341.042684861244,0.0,0.0
HSP90B1_LRP1,0.02443981170654297,41.362438965906705,16.788721965640175,1829.2276638474432,694.422487619369,57446.01552141851,0.00028303091857340146,0.00033609921580591423
MDK_LRP1,0.024537324905395508,32.20185456670078,16.78872196566438,4466.470256909705,540.6279830990992,34818.44737289192,0.0,0.0
PLAU_LRP1,0.024855852127075195,52.804138822814004,16.788721965648037,2375.368611598021,886.5140053317057,93623.21721180851,0.00021796225157100224,0.0002607102960679785
LRPAP1_LRP1,0.02443242073059082,25.275706777211013,16.788721965644726,2656.600724763259,424.3468135677578,21451.33126316495,8.215650382226158e-15,2.4747142004998307e-14
C3_LRP1,0.026585817337036133,10.303547934723332,16.788721965639887,1348.7727955848313,172.9834015357131,3564.6855392694274,0.0,0.0
THBS1_LRP1,0.029728174209594727,23.48103266365156,16.78872196564346,2674.446306473388,394.21652885623854,18513.22238124935,2.220446049250313e-16,7.835002488068962e-16
HSP90AA1_LRP1,0.02666497230529785,15.224541904647896,16.7887219656542,2525.1510309878486,255.60060109158496,7782.804124344052,0.0,0.0
CALR_LRP1,0.025236845016479492,25.442642772093755,16.788721965634384,1551.911022861073,427.1494555716393,21735.6220168071,6.211130567645995e-07,9.159100001245138e-07
C1QB_LRP1,0.02782583236694336,31.135063579841603,16.78872196567281,6495.934726245077,522.7179258255062,32549.711709800125,0.0,0.0
VWF_LRP1,0.07041311264038086,21.623275475888143,16.788721965642203,1787.6469209524591,363.0271599511756,15699.672569707154,1.0729650501417609e-10,2.1812540525515632e-10
APP_LRP1,0.025197267532348633,32.95332023440687,16.788721965699473,5481.29285813611,553.2441312621155,36462.46205057344,0.0,0.0
PSAP_LRP1,0.029355525970458984,22.768151768839022,16.788721965651717,2988.9899274888744,382.2481697187997,17406.168683037136,0.0,0.0
COL4A2_CD93,0.025761127471923828,25.45718609133329,16.788721965638963,1807.8270147498347,427.39361931492596,21760.477802297057,1.226403434362311e-08,2.1257659528946722e-08
COL1A2_CD93,0.02521967887878418,15.08879330499315,16.78872196564534,1366.645439224965,253.32155559462086,7644.63318413313,3.983813279262449e-12,9.027540183282798e-12
COL4A1_CD93,0.02867865562438965,31.244792033654022,16.788721965640207,1941.6100999433963,524.5601263272674,32779.544112485506,3.998326677523423e-07,6.040285561763213e-07
C1QA_CD93,0.023097515106201172,23.464790662376647,16.78872196563537,1467.7466520840974,393.94384641247854,18487.619777600532,3.4143236293804335e-07,5.226072249522097e-07
HLA-B_CANX,0.028249740600585938,23.927246687266923,16.788721965660063,1773.4919019072336,401.7078920362851,19223.52765794836,3.5260385722324372e-09,6.357164433148992e-09
