,row,col
C18x22_C19x22,18.5,22.0
C18x23_C18x24,18.0,23.5
C18x23_C19x23,18.5,23.0
C18x24_C18x25,18.0,24.5
C18x24_C19x24,18.5,24.0
C18x25_C18x26,18.0,25.5
C18x25_C19x25,18.5,25.0
C18x26_C19x26,18.5,26.0
C18x28_C18x29,18.0,28.5
C18x28_C19x28,18.5,28.0
C18x29_C18x30,18.0,29.5
C18x29_C19x29,18.5,29.0
C18x30_C18x31,18.0,30.5
C18x30_C19x30,18.5,30.0
C18x31_C18x32,18.0,31.5
C18x31_C19x31,18.5,31.0
C18x32_C18x33,18.0,32.5
C18x32_C19x32,18.5,32.0
C18x33_C18x34,18.0,33.5
C18x33_C19x33,18.5,33.0
C18x34_C19x34,18.5,34.0
C19x13_C19x14,19.0,13.5
C19x13_C20x13,19.5,13.0
C19x14_C19x15,19.0,14.5
C19x14_C20x14,19.5,14.0
C19x15_C20x15,19.5,15.0
C19x17_C19x18,19.0,17.5
C19x17_C20x17,19.5,17.0
C19x18_C19x19,19.0,18.5
C19x18_C20x18,19.5,18.0
C19x19_C19x20,19.0,19.5
C19x19_C20x19,19.5,19.0
C19x20_C19x21,19.0,20.5
C19x20_C20x20,19.5,20.0
C19x21_C19x22,19.0,21.5
C19x21_C20x21,19.5,21.0
C19x22_C19x23,19.0,22.5
C19x22_C20x22,19.5,22.0
C19x23_C19x24,19.0,23.5
C19x23_C20x23,19.5,23.0
C19x24_C19x25,19.0,24.5
C19x24_C20x24,19.5,24.0
C19x25_C19x26,19.0,25.5
C19x25_C20x25,19.5,25.0
C19x26_C19x27,19.0,26.5
C19x26_C20x26,19.5,26.0
C19x27_C19x28,19.0,27.5
C19x27_C20x27,19.5,27.0
C19x28_C19x29,19.0,28.5
C19x28_C20x28,19.5,28.0
C19x29_C19x30,19.0,29.5
C19x29_C20x29,19.5,29.0
C19x30_C19x31,19.0,30.5
C19x30_C20x30,19.5,30.0
C19x31_C19x32,19.0,31.5
C19x31_C20x31,19.5,31.0
C19x32_C19x33,19.0,32.5
C19x32_C20x32,19.5,32.0
C19x33_C19x34,19.0,33.5
C19x33_C20x33,19.5,33.0
C19x34_C20x34,19.5,34.0
C20x13_C20x14,20.0,13.5
C20x14_C20x15,20.0,14.5
C20x14_C21x14,20.5,14.0
C20x15_C20x16,20.0,15.5
C20x15_C21x15,20.5,15.0
C20x16_C20x17,20.0,16.5
C20x16_C21x16,20.5,16.0
C20x17_C20x18,20.0,17.5
C20x17_C21x17,20.5,17.0
C20x18_C20x19,20.0,18.5
C20x18_C21x18,20.5,18.0
C20x19_C20x20,20.0,19.5
C20x19_C21x19,20.5,19.0
C20x20_C20x21,20.0,20.5
C20x20_C21x20,20.5,20.0
C20x21_C20x22,20.0,21.5
C20x21_C21x21,20.5,21.0
C20x22_C20x23,20.0,22.5
C20x22_C21x22,20.5,22.0
C20x23_C20x24,20.0,23.5
C20x23_C21x23,20.5,23.0
C20x24_C20x25,20.0,24.5
C20x24_C21x24,20.5,24.0
C20x25_C20x26,20.0,25.5
C20x25_C21x25,20.5,25.0
C20x26_C20x27,20.0,26.5
C20x26_C21x26,20.5,26.0
C20x27_C20x28,20.0,27.5
C20x27_C21x27,20.5,27.0
C20x28_C20x29,20.0,28.5
C20x28_C21x28,20.5,28.0
C20x29_C20x30,20.0,29.5
C20x29_C21x29,20.5,29.0
C20x30_C20x31,20.0,30.5
C20x30_C21x30,20.5,30.0
C20x31_C20x32,20.0,31.5
C20x31_C21x31,20.5,31.0
C20x32_C20x33,20.0,32.5
C20x32_C21x32,20.5,32.0
C20x33_C20x34,20.0,33.5
C20x33_C21x33,20.5,33.0
C21x14_C21x15,21.0,14.5
C21x14_C22x14,21.5,14.0
C21x15_C21x16,21.0,15.5
C21x15_C22x15,21.5,15.0
C21x16_C21x17,21.0,16.5
C21x16_C22x16,21.5,16.0
C21x17_C21x18,21.0,17.5
C21x17_C22x17,21.5,17.0
C21x18_C21x19,21.0,18.5
C21x18_C22x18,21.5,18.0
C21x19_C21x20,21.0,19.5
C21x19_C22x19,21.5,19.0
C21x20_C21x21,21.0,20.5
C21x20_C22x20,21.5,20.0
C21x21_C21x22,21.0,21.5
C21x21_C22x21,21.5,21.0
C21x22_C21x23,21.0,22.5
C21x23_C21x24,21.0,23.5
C21x23_C22x23,21.5,23.0
C21x24_C21x25,21.0,24.5
C21x24_C22x24,21.5,24.0
C21x25_C21x26,21.0,25.5
C21x25_C22x25,21.5,25.0
C21x26_C21x27,21.0,26.5
C21x26_C22x26,21.5,26.0
C21x27_C21x28,21.0,27.5
C21x27_C22x27,21.5,27.0
C21x28_C21x29,21.0,28.5
C21x28_C22x28,21.5,28.0
C21x29_C21x30,21.0,29.5
C21x29_C22x29,21.5,29.0
C21x30_C21x31,21.0,30.5
C21x30_C22x30,21.5,30.0
C21x31_C21x32,21.0,31.5
C21x31_C22x31,21.5,31.0
C21x32_C21x33,21.0,32.5
C21x32_C22x32,21.5,32.0
C21x33_C22x33,21.5,33.0
C22x14_C22x15,22.0,14.5
C22x15_C22x16,22.0,15.5
C22x15_C23x15,22.5,15.0
C22x16_C22x17,22.0,16.5
C22x16_C23x16,22.5,16.0
C22x17_C22x18,22.0,17.5
C22x17_C23x17,22.5,17.0
C22x18_C22x19,22.0,18.5
C22x18_C23x18,22.5,18.0
C22x19_C22x20,22.0,19.5
C22x19_C23x19,22.5,19.0
C22x20_C22x21,22.0,20.5
C22x20_C23x20,22.5,20.0
C22x21_C23x21,22.5,21.0
C22x23_C22x24,22.0,23.5
C22x23_C23x23,22.5,23.0
C22x24_C22x25,22.0,24.5
C22x24_C23x24,22.5,24.0
C22x25_C22x26,22.0,25.5
C22x25_C23x25,22.5,25.0
C22x26_C22x27,22.0,26.5
C22x26_C23x26,22.5,26.0
C22x27_C22x28,22.0,27.5
C22x27_C23x27,22.5,27.0
C22x28_C22x29,22.0,28.5
C22x28_C23x28,22.5,28.0
C22x29_C22x30,22.0,29.5
C22x29_C23x29,22.5,29.0
C22x30_C22x31,22.0,30.5
C22x30_C23x30,22.5,30.0
C22x31_C22x32,22.0,31.5
C22x31_C23x31,22.5,31.0
C22x32_C22x33,22.0,32.5
C22x32_C23x32,22.5,32.0
C23x15_C23x16,23.0,15.5
C23x16_C23x17,23.0,16.5
C23x16_C24x16,23.5,16.0
C23x17_C23x18,23.0,17.5
C23x17_C24x17,23.5,17.0
C23x18_C23x19,23.0,18.5
C23x18_C24x18,23.5,18.0
C23x19_C23x20,23.0,19.5
C23x19_C24x19,23.5,19.0
C23x20_C23x21,23.0,20.5
C23x20_C24x20,23.5,20.0
C23x21_C23x22,23.0,21.5
C23x21_C24x21,23.5,21.0
C23x22_C23x23,23.0,22.5
C23x22_C24x22,23.5,22.0
C23x23_C23x24,23.0,23.5
C23x23_C24x23,23.5,23.0
C23x24_C23x25,23.0,24.5
C23x24_C24x24,23.5,24.0
C23x25_C23x26,23.0,25.5
C23x25_C24x25,23.5,25.0
C23x26_C23x27,23.0,26.5
C23x26_C24x26,23.5,26.0
C23x27_C23x28,23.0,27.5
C23x27_C24x27,23.5,27.0
C23x28_C23x29,23.0,28.5
C23x28_C24x28,23.5,28.0
C23x29_C23x30,23.0,29.5
C23x29_C24x29,23.5,29.0
C23x30_C23x31,23.0,30.5
C23x30_C24x30,23.5,30.0
C23x31_C23x32,23.0,31.5
C23x31_C24x31,23.5,31.0
C23x32_C24x32,23.5,32.0
C24x16_C24x17,24.0,16.5
C24x17_C24x18,24.0,17.5
C24x17_C25x17,24.5,17.0
C24x18_C24x19,24.0,18.5
C24x18_C25x18,24.5,18.0
C24x19_C24x20,24.0,19.5
C24x19_C25x19,24.5,19.0
C24x20_C24x21,24.0,20.5
C24x20_C25x20,24.5,20.0
C24x21_C24x22,24.0,21.5
C24x21_C25x21,24.5,21.0
C24x22_C24x23,24.0,22.5
C24x22_C25x22,24.5,22.0
C24x23_C24x24,24.0,23.5
C24x23_C25x23,24.5,23.0
C24x24_C24x25,24.0,24.5
C24x24_C25x24,24.5,24.0
C24x25_C24x26,24.0,25.5
C24x25_C25x25,24.5,25.0
C24x26_C24x27,24.0,26.5
C24x26_C25x26,24.5,26.0
C24x27_C24x28,24.0,27.5
C24x27_C25x27,24.5,27.0
C24x28_C24x29,24.0,28.5
C24x28_C25x28,24.5,28.0
C24x29_C24x30,24.0,29.5
C24x29_C25x29,24.5,29.0
C24x30_C24x31,24.0,30.5
C24x30_C25x30,24.5,30.0
C24x31_C24x32,24.0,31.5
C24x31_C25x31,24.5,31.0
C24x32_C25x32,24.5,32.0
C25x17_C25x18,25.0,17.5
C25x17_C26x17,25.5,17.0
C25x18_C25x19,25.0,18.5
C25x18_C26x18,25.5,18.0
C25x19_C25x20,25.0,19.5
C25x19_C26x19,25.5,19.0
C25x20_C25x21,25.0,20.5
C25x20_C26x20,25.5,20.0
C25x21_C25x22,25.0,21.5
C25x21_C26x21,25.5,21.0
C25x22_C25x23,25.0,22.5
C25x22_C26x22,25.5,22.0
C25x23_C25x24,25.0,23.5
C25x23_C26x23,25.5,23.0
C25x24_C25x25,25.0,24.5
C25x24_C26x24,25.5,24.0
C25x25_C25x26,25.0,25.5
C25x25_C26x25,25.5,25.0
C25x26_C25x27,25.0,26.5
C25x26_C26x26,25.5,26.0
C25x27_C25x28,25.0,27.5
C25x27_C26x27,25.5,27.0
C25x28_C25x29,25.0,28.5
C25x28_C26x28,25.5,28.0
C25x29_C25x30,25.0,29.5
C25x29_C26x29,25.5,29.0
C25x30_C25x31,25.0,30.5
C25x30_C26x30,25.5,30.0
C25x31_C25x32,25.0,31.5
C25x31_C26x31,25.5,31.0
C26x17_C26x18,26.0,17.5
C26x18_C26x19,26.0,18.5
C26x18_C27x18,26.5,18.0
C26x19_C26x20,26.0,19.5
C26x19_C27x19,26.5,19.0
C26x20_C26x21,26.0,20.5
C26x20_C27x20,26.5,20.0
C26x21_C26x22,26.0,21.5
C26x21_C27x21,26.5,21.0
C26x22_C26x23,26.0,22.5
C26x22_C27x22,26.5,22.0
C26x23_C26x24,26.0,23.5
C26x23_C27x23,26.5,23.0
C26x24_C26x25,26.0,24.5
C26x25_C26x26,26.0,25.5
C26x25_C27x25,26.5,25.0
C26x26_C26x27,26.0,26.5
C26x26_C27x26,26.5,26.0
C26x27_C26x28,26.0,27.5
C26x27_C27x27,26.5,27.0
C26x28_C26x29,26.0,28.5
C26x28_C27x28,26.5,28.0
C26x29_C26x30,26.0,29.5
C26x30_C26x31,26.0,30.5
C27x18_C27x19,27.0,18.5
C27x18_C28x18,27.5,18.0
C27x19_C27x20,27.0,19.5
C27x19_C28x19,27.5,19.0
C27x20_C27x21,27.0,20.5
C27x20_C28x20,27.5,20.0
C27x21_C27x22,27.0,21.5
C27x21_C28x21,27.5,21.0
C27x22_C27x23,27.0,22.5
