"","combinedPval","adjustedPval"
"TFF1_MUC5AC",3.50153461781133e-10,5.01242722562533e-09
"TNFSF12_TNFRSF25",2.94167631365028e-08,3.13465964630853e-07
"TNFSF12_TNFRSF12A",3.40938388632139e-11,5.65366469651107e-10
"FGF19_FGFR1",2.14021586519841e-06,1.83352288533208e-05
"FGF19_FGFR3",3.12810287281618e-16,1.02727417095023e-14
"VCAM1_ITGB1",2.15223353176185e-34,1.02990428889494e-31
"VCAM1_ITGB2",4.76697592510789e-09,5.72327044855153e-08
"VCAM1_EZR",2.14707499399053e-21,1.49834385087599e-19
"VCAM1_MSN",4.5395865462797e-27,6.87959772783185e-25
"ARPC5_LDLR",9.14032031182899e-05,0.000677373954713137
"COL6A3_ITGB1",4.78604380219884e-24,4.71523416486204e-22
"COL6A3_ITGA2",1.67643676718399e-14,4.28668325776094e-13
"LIPH_LPAR4",1.99148004598193e-06,1.71929241413147e-05
"LIPH_LPAR2",2.77734502063254e-11,4.7224690600148e-10
"MELTF_TFRC",0.000177586531314722,0.00128757804358632
"COL1A2_CD44",5.0028876596997e-08,5.14053906782052e-07
"COL1A2_ITGB1",4.21570756081735e-09,5.11642848264986e-08
"COL1A2_ITGA11",6.66806560341917e-32,1.86133323187777e-29
"COL14A1_CD44",0.000318330265305367,0.00227772231712544
"COL6A2_ITGB1",0.000703730310928963,0.00494189360942269
"IL16_KCNJ15",3.50967573838053e-17,1.36701744121171e-15
"CD14_ITGB1",1.37486000833375e-21,9.79864750815251e-20
"CD14_ITGB2",1.60082131217543e-07,1.55879831723214e-06
"COL3A1_ITGB1",4.11056797509892e-18,1.76527652130266e-16
"COL3A1_DDR1",0.000446331300308911,0.00316753088946891
"FGB_ITGB1",2.79776202205539e-14,7.04635700369487e-13
"FGB_ITGB2",7.54347070481831e-05,0.000564025458711917
"FGA_ITGAX",7.56921530498111e-06,6.24496974336056e-05
"FGA_ITGB1",1.34689870368021e-09,1.76929507172041e-08
"FGA_PLAUR",1.91671123417336e-11,3.37915879397747e-10
"FGA_ITGB2",6.78383335128707e-06,5.62469941842897e-05
"SEMA4C_PLXNB2",6.64275930659652e-05,0.000498906510271966
"HAS2_CD44",1.27286949425098e-07,1.25403735835963e-06
"EFEMP2_AQP1",2.93618907824508e-22,2.34174845190987e-20
"GNAI2_EDNRA",0.0218836597581258,0.149599239972289
"GNAI2_ADORA1",6.58912235884657e-09,7.79913881261753e-08
"GNAI2_PTPRU",3.82847535527458e-23,3.2882646378762e-21
"AGTRAP_RACK1",1.17683640610267e-14,3.03234252253023e-13
"PKM_CD44",3.86796610518658e-07,3.54972989887089e-06
