,C,pval_norm,var_norm,pval_z_sim,pval_sim,var_sim,pval_norm_fdr_bh,pval_z_sim_fdr_bh,pval_sim_fdr_bh
AFDN_NECTIN4,0.42901011133662303,3.186592209758809e-169,0.0004248094182808732,1.871144523288689e-108,0.000999000999000999,0.0006622707104767926,5.11096282993783e-169,3.933384657466436e-108,0.000999000999000999
COL1A2_ITGAV,0.4292377719545755,4.32879567183675e-169,0.0004248094182808732,4.506361057442831e-100,0.000999000999000999,0.0007040154439619931,6.920469455946131e-169,6.082356181357264e-100,0.000999000999000999
SEMA4A_PLXND1,0.4292564799919353,4.4391248533135036e-169,0.0004248094182808732,1.0835765259159031e-104,0.000999000999000999,0.0006894230629106347,7.073960250118937e-169,1.7608118546133425e-104,0.000999000999000999
AFDN_NECTIN1,0.42927102805616046,4.526858288124024e-169,0.0004248094182808732,1.922791732833134e-98,0.000999000999000999,0.0007274992974318269,7.190572329045877e-169,2.4544163204640005e-98,0.000999000999000999
TNFSF12_TNFRSF25,0.42952347339761393,6.356979028777682e-169,0.0004248094182808732,2.914093616208134e-105,0.000999000999000999,0.0006891128437790902,1.0065216795564663e-168,4.879872021718028e-105,0.000999000999000999
LAMB3_CD151,0.429691641960201,7.969705920003757e-169,0.0004248094182808732,1.3053190952058012e-101,0.000999000999000999,0.0007043845836738943,1.2578385701219987e-168,1.8690656029903356e-101,0.000999000999000999
ADAM10_MET,0.4302326958892733,1.6487735667286673e-168,0.0004248094182808732,1.7805031754963525e-99,0.000999000999000999,0.0007142885527882366,2.59393038842026e-168,2.3644316362774145e-99,0.000999000999000999
FN1_ITGAV,0.4307808372699921,3.4412058991674427e-168,0.0004248094182808732,2.5046376377594537e-101,0.000999000999000999,0.000693605511780932,5.396684806948307e-168,3.535117123009057e-101,0.000999000999000999
NLGN2_NRXN2,0.43080953004483286,3.5762610994784296e-168,0.0004248094182808732,1.7034155680105075e-101,0.000999000999000999,0.0006890442826413186,5.59073728842514e-168,2.4250354195884457e-101,0.000999000999000999
COL5A2_ITGA1,0.4330941578067245,7.619500065471484e-167,0.0004248094182808732,1.7798997280945604e-109,0.000999000999000999,0.0006746973551815814,1.1873921237674806e-166,4.147502196597702e-109,0.000999000999000999
TGFB1_ITGB6,0.43313724893285305,8.071095800418365e-167,0.0004248094182808732,1.430048024247239e-98,0.000999000999000999,0.0007214005910583554,1.2538117375492681e-166,1.8396971978597294e-98,0.000999000999000999
TGFB3_ACVRL1,0.43402275745109314,2.6325604508706022e-166,0.0004248094182808732,5.0594999536059743e-107,0.000999000999000999,0.0006642764021778628,4.07675505558018e-166,9.396214199553953e-107,0.000999000999000999
SERPINE1_ITGB5,0.4348859957229653,8.320330533196157e-166,0.0004248094182808732,3.013295925766199e-95,0.000999000999000999,0.0007427458434656166,1.2844510260621566e-165,3.578288911847361e-95,0.000999000999000999
NID1_ITGAV,0.4349310026579852,8.834378006643865e-166,0.0004248094182808732,3.395198787640808e-100,0.000999000999000999,0.0006823667572143118,1.359558484511548e-165,4.59514575642345e-100,0.000999000999000999
JAG2_NOTCH4,0.4350028970414969,9.722116254632501e-166,0.0004248094182808732,1.0235420238851527e-103,0.000999000999000999,0.0007247941426142212,1.4915296365802655e-165,1.6206082044848253e-103,0.000999000999000999
MDK_SDC3,0.43515779473498056,1.1949180373175199e-165,0.0004248094182808732,8.482149116142486e-101,0.000999000999000999,0.0006827274124666145,1.8275217041326775e-165,1.1770173211725808e-100,0.000999000999000999
CALM1_KCNN4,0.4351740396305846,1.2210434482448553e-165,0.0004248094182808732,6.868687992630686e-96,0.000999000999000999,0.0007315010265115449,1.8617143933116004e-165,8.296165937309435e-96,0.000999000999000999
LAMC2_ITGA6,0.4351864002941345,1.241303633549626e-165,0.0004248094182808732,2.2233651022331952e-107,0.000999000999000999,0.0006481798371180228,1.8867815229954314e-165,4.2243936942430714e-107,0.000999000999000999
