g,SOMDE,SpatialDE,adj_pvalue
ENDOU,8.819583644596853e-06,1.0,0.00011146662447020288
ENKUR,8.819583644596853e-06,1.0,0.00011146662447020288
ENPP3,8.819583644596853e-06,1.0,0.00011146662447020288
ENPP6,8.819583644596853e-06,1.0,0.00011146662447020288
ENPP7,8.819583644596853e-06,1.0,0.00011146662447020288
ENTHD1,8.819583644596853e-06,1.0,0.00011146662447020288
EOMES,8.819583644596853e-06,1.0,0.00011146662447020288
EPGN,8.819583644596853e-06,1.0,0.00011146662447020288
EN1,8.819583644596853e-06,1.0,0.00011146662447020288
EPHA6,8.819583644596853e-06,1.0,0.00011146662447020288
EPHA7,8.819583644596853e-06,1.0,0.00011146662447020288
EPHA8,8.819583644596853e-06,1.0,0.00011146662447020288
EPHB1,8.819583644596853e-06,1.0,0.00011146662447020288
EPPIN,8.819583644596853e-06,1.0,0.00011146662447020288
EPPIN-WFDC6,8.819583644596853e-06,1.0,0.00011146662447020288
EPX,8.819583644596853e-06,1.0,0.00011146662447020288
EN2,8.819583644596853e-06,1.0,0.00011146662447020288
EML5,8.819583644596853e-06,1.0,0.00011146662447020288
EQTN,8.819583644596853e-06,1.0,0.00011146662447020288
ELOA2,8.819583644596853e-06,1.0,0.00011146662447020288
EIF4E1B,8.819583644596853e-06,1.0,0.00011146662447020288
EIF4EBP3,8.819583644596853e-06,1.0,0.00011146662447020288
ELAVL2,8.819583644596853e-06,1.0,0.00011146662447020288
ELF5,8.819583644596853e-06,1.0,0.00011146662447020288
ELFN2,8.819583644596853e-06,1.0,0.00011146662447020288
ELL3,8.819583644596853e-06,1.0,0.00011146662447020288
ELMOD1,8.819583644596853e-06,1.0,0.00011146662447020288
ELOA3,8.819583644596853e-06,1.0,0.00011146662447020288
EMILIN3,8.819583644596853e-06,1.0,0.00011146662447020288
ELOA3B,8.819583644596853e-06,1.0,0.00011146662447020288
ELOA3C,8.819583644596853e-06,1.0,0.00011146662447020288
ELOA3D,8.819583644596853e-06,1.0,0.00011146662447020288
ELOVL2,8.819583644596853e-06,1.0,0.00011146662447020288
ELOVL3,8.819583644596853e-06,1.0,0.00011146662447020288
ELOVL4,8.819583644596853e-06,1.0,0.00011146662447020288
ELSPBP1,8.819583644596853e-06,1.0,0.00011146662447020288
EPYC,8.819583644596853e-06,1.0,0.00011146662447020288
ERAS,8.819583644596853e-06,1.0,0.00011146662447020288
FABP2,8.819583644596853e-06,1.0,0.00011146662447020288
EXO1,8.819583644596853e-06,1.0,0.00011146662447020288
ETDC,8.819583644596853e-06,1.0,0.00011146662447020288
ETNPPL,8.819583644596853e-06,1.0,0.00011146662447020288
ETV3L,8.819583644596853e-06,1.0,0.00011146662447020288
EVPLL,8.819583644596853e-06,1.0,0.00011146662447020288
EVX1,8.819583644596853e-06,1.0,0.00011146662447020288
EVX2,8.819583644596853e-06,1.0,0.00011146662447020288
EXD1,8.819583644596853e-06,1.0,0.00011146662447020288
EXOC1L,8.819583644596853e-06,1.0,0.00011146662447020288
ETDA,8.819583644596853e-06,1.0,0.00011146662447020288
FAM9B,8.819583644596853e-06,1.0,0.00011146662447020288
EYS,8.819583644596853e-06,1.0,0.00011146662447020288
F13B,8.819583644596853e-06,1.0,0.00011146662447020288
F2,8.819583644596853e-06,1.0,0.00011146662447020288
F9,8.819583644596853e-06,1.0,0.00011146662447020288
FABP1,8.819583644596853e-06,1.0,0.00011146662447020288
FABP12,8.819583644596853e-06,1.0,0.00011146662447020288
ETDB,8.819583644596853e-06,1.0,0.00011146662447020288
ESX1,8.819583644596853e-06,1.0,0.00011146662447020288
