,g,pattern,membership
94,LAMB3_ITGA2,3,0.9999999999959999
95,FN1_ITGA2,3,0.9999999999959999
96,COL7A1_ITGA2,3,0.9999999999959999
97,COL3A1_ITGA2,3,0.9999999999959999
98,LRPAP1_LRP8,4,0.9999999999960001
99,CD6_ALCAM,1,0.9999999999959996
100,PLAU_MRC2,2,0.9999999999959999
101,GNAS_VIPR1,1,0.9999999999959996
102,AFDN_EPHB3,4,0.9999999999960001
103,PLAU_PLAUR,3,0.9999999999959999
104,LAMB3_COL17A1,3,0.9999999999959999
105,GNAS_ADORA1,1,0.9999999999959996
106,CD59_CD2,1,0.9999999999959996
107,HLA-C_NOTCH4,1,0.9999999999959996
108,SEMA3F_NRP2,0,0.9999999999959996
109,VCL_ITGB5,2,0.9999999999959999
110,TIMP1_CD63,1,0.9999999999959996
111,MMP2_PECAM1,0,0.9999999999959996
112,TGFB1_SMAD3,3,0.9999999999959999
113,TGFB1_ITGB1,0,0.9999999999959996
114,TGFB1_CXCR4,0,0.9999999999959996
115,LAMB1_ITGAV,4,0.9999999999960001
116,PDAP1_PDGFRB,0,0.9999999999959996
117,SERPINE1_PLAUR,3,0.9999999999959999
118,LAMA4_ITGA6,2,0.9999999999959999
119,HBEGF_ERBB2,3,0.9999999999959999
120,TGFB3_ENG,0,0.9999999999959996
121,TGFB3_ACVRL1,0,0.9999999999959996
122,C3_CD81,1,0.9999999999959996
123,APOE_SCARB1,1,0.9999999999959996
124,LAMA5_BCAM,1,0.9999999999959996
125,JAG1_CD46,0,0.9999999999959996
126,LAMC1_ITGA6,2,0.9999999999959999
127,CCL21_ADRA2A,4,0.9999999999960001
128,ADAM10_CD44,1,0.9999999999959996
129,ADAM10_CADM1,1,0.9999999999959996
130,ADAM10_AXL,1,0.9999999999959996
131,LAMC2_CD151,3,0.9999999999959999
132,LAMC2_COL17A1,3,0.9999999999959999
133,NID1_ITGB1,0,0.9999999999959996
134,NID1_PTPRF,4,0.9999999999960001
135,ICAM1_ITGAX,0,0.9999999999959996
136,CALM2_INSR,4,0.9999999999960001
137,CALM2_AQP1,4,0.9999999999960001
138,APP_PLD1,1,0.9999999999959996
139,APP_TSPAN15,1,0.9999999999959996
140,TNFSF12_TNFRSF25,1,0.9999999999959996
141,VCAM1_ITGB2,4,0.9999999999960001
142,VCAM1_MSN,4,0.9999999999960001
143,COL14A1_CD44,4,0.9999999999960001
144,IL16_KCNJ15,4,0.9999999999960001
145,CD14_ITGB1,1,0.9999999999959996
146,CD14_ITGB2,4,0.9999999999960001
147,HAS2_CD44,1,0.9999999999959996
148,GNAI2_PTPRU,2,0.9999999999959999
