,ligand,receptor,perm_pval,fdr,selected
1377,CXCL14,CXCR4,0.622,1.0,False
1381,RTN4,GJB2,1.0,1.0,False
1407,HMGB1,SDC1,1.0,1.0,False
1411,HMGB1,CXCR4,0.0,0.0,True
1418,FN1,ITGA6,0.0,0.0,True
1421,FN1,CD44,1.0,1.0,False
1422,FN1,ITGB1,0.989,1.0,False
1427,COL18A1,ITGB1,1.0,1.0,False
1442,ADAM15,ITGB1,0.0,0.0,True
1461,CALM1,PTPRA,0.0,0.0,True
1489,LAMC3,ITGA6,1.0,1.0,False
1490,LAMC3,ITGB1,0.0,0.0,True
1495,COL6A1,ITGB1,0.01100000000000001,0.020908396946564906,False
1496,COL6A1,ITGA6,0.0,0.0,True
1498,TGM2,ITGB1,0.0,0.0,True
1500,TGM2,SDC4,1.0,1.0,False
1502,TGM2,ADGRG1,0.783,1.0,False
1510,THBS2,ITGB1,0.988,1.0,False
1512,THBS2,NOTCH4,0.997,1.0,False
1513,THBS2,ITGA6,0.0,0.0,True
1525,PTGS2,ALOX5,1.0,1.0,False
1532,SEMA4A,PLXNB2,1.0,1.0,False
1534,EFNA1,EPHB6,0.961,1.0,False
1546,ADAM12,ITGB1,1.0,1.0,False
1547,ADAM12,SDC4,0.0,0.0,True
1554,S100A9,ITGB2,1.0,1.0,False
1585,COL5A1,ITGB1,1.0,1.0,False
1586,CEL,CXCR4,1.0,1.0,False
1595,SPTAN1,PTPRA,0.0,0.0,True
1600,PLAU,ITGB1,1.0,1.0,False
1601,PLAU,ITGB2,1.0,1.0,False
1609,COL16A1,ITGB1,0.0,0.0,True
1615,HSPG2,SDC1,0.0,0.0,True
1616,HSPG2,ITGB1,1.0,1.0,False
1618,HSPG2,FGFR1,1.0,1.0,False
1619,COL5A2,ITGB1,0.0010000000000000009,0.001945312500000002,True
1620,COL5A2,DDR1,1.0,1.0,False
1624,COL4A1,ITGB1,0.0050000000000000044,0.009576923076923085,True
1639,ACTR2,LDLR,1.0,1.0,False
1646,AGRN,ITGB1,0.0,0.0,True
1666,ZG16B,CXCR4,1.0,1.0,False
1675,LAMB3,CD151,0.0,0.0,True
1676,LAMB3,ITGB1,1.0,1.0,False
1677,LAMB3,ITGA6,0.0,0.0,True
1678,AFDN,EPHB6,0.0,0.0,True
1688,SPP1,CD44,0.0,0.0,True
1689,SPP1,ITGB1,0.15900000000000003,0.2921845018450185,False
1691,LGALS9,CD44,0.993,1.0,False
1692,LGALS9,SLC1A5,0.0,0.0,True
1722,MDK,ITGA6,1.0,1.0,False
1758,LRPAP1,LDLR,1.0,1.0,False
1760,HSPA8,LDLR,1.0,1.0,False
1771,S100A10,CFTR,1.0,1.0,False
1773,HSP90AA1,CFTR,1.0,1.0,False
1774,PLAU,ITGA3,0.0,0.0,True
1776,LAMA4,ITGA3,0.0,0.0,True
1779,LGALS8,ITGA3,0.0,0.0,True
1780,NID1,ITGA3,1.0,1.0,False
1781,LAMC3,ITGA3,1.0,1.0,False
1782,THBS1,ITGA3,1.0,1.0,False
1783,CALR,ITGA3,0.0,0.0,True
1784,TIMP2,ITGA3,0.0,0.0,True
1786,LAMB2,ITGA3,0.0,0.0,True
1788,LAMA5,ITGA3,1.0,1.0,False
1789,ADAM9,ITGA3,0.999,1.0,False
1790,LAMC1,ITGA3,0.0,0.0,True
1791,LAMB3,ITGA3,0.0,0.0,True
1792,COL18A1,ITGA3,0.0,0.0,True
1794,LAMB1,ITGA3,1.0,1.0,False
1795,LAMC2,ITGA3,0.0,0.0,True
1796,FN1,ITGA3,0.0,0.0,True
1799,APP,CD74,0.0,0.0,True
1802,SLPI,CD4,1.0,1.0,False
1804,IL16,CD4,0.0,0.0,True
1809,CALM1,SCTR,1.0,1.0,False
1817,CALM2,KCNQ1,0.0,0.0,True
1819,CALM1,KCNQ1,1.0,1.0,False
1820,CALM3,KCNQ1,0.44199999999999995,0.7946425992779782,False
1825,LTB,TNFRSF1A,0.0,0.0,True
1846,LAMC3,ITGB4,1.0,1.0,False
1847,LAMB2,ITGB4,0.0,0.0,True
1848,LAMA5,ITGB4,1.0,1.0,False
1849,LAMC1,ITGB4,0.0,0.0,True
1851,LAMB3,ITGB4,0.0,0.0,True
1852,LAMB1,ITGB4,1.0,1.0,False
1853,LAMC2,ITGB4,0.0,0.0,True
1891,HBEGF,CD82,0.0,0.0,True
1897,LTB,LTBR,0.07799999999999996,0.14603007518796984,False
1972,CD55,ADGRE5,0.0,0.0,True
1977,AGRN,LRP1,0.0,0.0,True
1978,GPC3,LRP1,0.0,0.0,True
1979,PDGFB,LRP1,0.0,0.0,True
1980,A2M,LRP1,0.0,0.0,True
1982,SERPINA1,LRP1,1.0,1.0,False
1984,HSPG2,LRP1,1.0,1.0,False
1986,APOE,LRP1,0.0,0.0,True
1989,HSP90B1,LRP1,0.0,0.0,True
