,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells,is_svi,label,pattern_membership_0,pattern_membership_1,pattern_membership_2,pattern_membership_3,pattern_membership_4,pattern_correlation_0,pattern_correlation_1,pattern_correlation_2,pattern_correlation_3,pattern_correlation_4
C3_CD46,191,6.2681684,1.9835043,74.93438320209972,4776.344,8.47164,191,1,4,0.0,0.0,0.0,0.0,1.0,0.20726286403541233,0.31090737832453424,-0.19469946232872265,-0.27699260212631005,0.19868194391877764
C3_ITGAX,255,11.222732,2.5032976,66.53543307086613,8551.722,9.054005,255,1,4,0.0,0.0,0.0,0.0,1.0,0.15481747922816277,0.11567356501685078,-0.1812157034457525,-0.12546176262674147,0.22819314097261056
C3_ADRA2A,221,9.888278,2.3876867,70.99737532808399,7534.8677,8.927429,221,1,1,0.0,1.0,0.0,0.0,0.0,0.20028073685728773,0.33373561499314347,-0.13008516016770308,-0.33690151287482395,0.0486903643329461
C3_ITGB2,214,10.505667,2.4428396,71.91601049868767,8005.318,8.987987,214,1,4,0.0,0.0,0.0,0.0,1.0,-0.033693458277505604,0.11623704173199556,-0.09468560169474466,-0.024683317844582692,0.09789702594698517
C3_CD81,705,78.69822,4.3782473,7.480314960629919,59968.043,11.001584,705,1,4,0.0,0.0,0.0,0.0,1.0,0.08604919635828141,0.027074028357901417,-0.08399247938333651,-0.14841292984126436,-0.11325100923832221
LIF_IL6ST,188,7.144103,2.097294,75.32808398950131,5443.8066,8.602418,188,1,1,0.0,1.0,0.0,0.0,0.0,0.07516985067395379,0.21216958107722036,-0.06382271213633917,-0.03395590325453351,-0.12739511285311203
APOE_LDLR,623,40.540707,3.7266738,18.24146981627297,30892.018,10.338285,623,1,4,0.0,0.0,0.0,0.0,1.0,0.004527412457240396,-0.13164310283426392,-0.0802344267522026,0.08263705245945664,0.16943661110788463
APOE_LRP5,376,15.903335,2.8275108,50.65616797900263,12118.341,9.402558,376,1,4,0.0,0.0,0.0,0.0,1.0,0.21400327817186265,-0.017202750385654973,-0.0652765405114514,0.01200347704861533,0.16213306737229177
APOE_LSR,402,21.080463,3.0946932,47.24409448818898,16063.3125,9.684356,402,1,4,0.0,0.0,0.0,0.0,1.0,0.0006562776481516843,-0.16224523484045678,0.08567533581003038,0.21077033302542586,0.2609419841393568
APOE_SCARB1,359,16.27856,2.8494666,52.887139107611546,12404.264,9.425877,359,0,-1,0.0,0.0,0.0,0.0,0.0,-0.033009224223368,-0.030250502075553104,0.03518830941752484,0.00251554154965286,0.010230727342900715
APOE_LRP8,205,8.539464,2.2554374,73.0971128608924,6507.0713,8.780799,205,1,4,0.0,0.0,0.0,0.0,1.0,0.03620601502370028,0.12073974690366981,-0.15000649983910436,-0.21472494012296123,0.04985840567231
LAMA5_SDC1,709,76.66644,4.352423,6.955380577427817,58419.83,10.975428,709,1,4,0.0,0.0,0.0,0.0,1.0,-0.31173898651616166,-0.29512773805352704,0.2389831882892565,0.28601859361504295,-0.1811404994404528
LAMA5_ITGA6,215,8.056024,2.2034302,71.78477690288713,6138.69,8.722529,215,1,4,0.0,0.0,0.0,0.0,1.0,0.2080279967959087,0.16312476115328675,-0.2453930685943625,-0.20225010807438562,0.5734898394968335
LAMA5_BCAM,395,22.55776,3.1594553,48.16272965879265,17189.014,9.752084,395,1,4,0.0,0.0,0.0,0.0,1.0,-0.08106773469959364,-0.05746685086506792,-0.041336029278678764,0.12340134415814862,-0.17159947845766643
LAMA5_ITGB1,288,13.383703,2.6660957,62.20472440944882,10198.382,9.2300825,288,1,1,0.0,1.0,0.0,0.0,0.0,0.5702836198367738,0.8176688757840509,-0.30367285979044617,-0.45185532056967626,0.006460527139705236
LAMA5_ITGA2,339,15.583918,2.8084335,55.51181102362205,11874.945,9.38227,339,1,4,0.0,0.0,0.0,0.0,1.0,0.21002955220954472,0.24363447092580082,-0.17834167210358906,-0.20174242415069227,0.44960686790299137
JAG1_CD46,209,6.5818334,2.025755,72.57217847769029,5015.357,8.520459,209,1,4,0.0,0.0,0.0,0.0,1.0,0.18474471397887401,0.2307107875464695,-0.15329586173101484,-0.25781621302826196,0.11824271516598665
JAG1_NOTCH4,219,8.159386,2.2147791,71.25984251968505,6217.4517,8.735276,219,0,-1,0.0,0.0,0.0,0.0,0.0,0.19983833292053946,-0.0009584745751381738,-0.16037164773839555,0.04034227430790013,-0.02282036138187689
JAG1_NOTCH1,176,7.2844195,2.1143765,76.9028871391076,5550.7275,8.621864,176,0,-1,0.0,0.0,0.0,0.0,0.0,0.07358749496866333,0.01676503816576061,-0.1588963172618654,-0.10690074260390031,0.23814121158118626
JAG1_NOTCH2,281,10.332667,2.4276896,63.123359580052494,7873.4927,8.971384,281,1,1,0.0,1.0,0.0,0.0,0.0,0.20816521463522195,0.14096684987054386,-0.11108248614622863,-0.22871816613235912,-0.02381217769767162
JAG1_NOTCH3,635,43.679317,3.7995107,16.666666666666664,33283.64,10.412851,635,1,4,0.0,0.0,0.0,0.0,1.0,-0.11881767127746884,-0.2469556622056689,0.18877228847530175,0.09268558990276599,-0.21420967150066322
LAMC1_ITGA6,210,7.67606,2.1605675,72.44094488188976,5849.1577,8.674224,210,1,4,0.0,0.0,0.0,0.0,1.0,0.12849615125537528,0.04433599157927842,-0.2036016493357739,-0.07071447798571551,0.5876155878492174
LAMC1_ITGA1,293,13.00217,2.6392124,61.54855643044619,9907.653,9.201163,293,0,-1,0.0,0.0,0.0,0.0,0.0,-0.02305383756579154,-0.01966084409566807,-0.12398874203538404,-0.09853090612987722,0.22095321364533124
LAMC1_ITGA7,164,5.807584,1.9180373,78.4776902887139,4425.379,8.395337,164,1,3,0.0,0.0,0.0,1.0,0.0,0.1295872860690087,0.03959878745682851,0.06360354031759999,0.13531088341915806,-0.20020188162379532
LAMC1_ITGAV,338,13.257238,2.6572647,55.643044619422575,10102.016,9.22059,338,1,4,0.0,0.0,0.0,0.0,1.0,0.5451270370746721,0.07645011809062387,-0.30971913062040474,-0.1366445707815221,0.1661098371912548
LAMC1_ITGB1,275,10.330952,2.4275382,63.91076115485564,7872.185,8.971218,275,1,1,0.0,1.0,0.0,0.0,0.0,0.42075129937774886,0.6214272101248036,-0.2624178240180264,-0.2929528145975868,0.16489752715198644
LAMC1_ITGA2,321,14.335483,2.7301693,57.8740157480315,10923.638,9.298776,321,1,4,0.0,0.0,0.0,0.0,1.0,0.09108332062552406,0.07737801526601108,-0.09583599443987474,-0.008007600923144634,0.5276119197422963
IL1RN_IL1R1,164,5.22955,1.8293041,78.4776902887139,3984.917,8.290523,164,1,4,0.0,0.0,0.0,0.0,1.0,0.28026397683710685,0.22186113241249475,-0.2739146027714782,-0.3041729841889326,0.16636777995525637
CCL21_ADRA2A,175,6.9248805,2.0700073,77.03412073490814,5276.759,8.571257,175,1,4,0.0,0.0,0.0,0.0,1.0,-0.008311171912107366,0.08070105038404209,-0.05355894761884591,-0.08048522349218494,-0.008431128684978676
MMP7_CD44,345,12.730652,2.6196308,54.7244094488189,9700.757,9.180062,345,1,4,0.0,0.0,0.0,0.0,1.0,0.14156029637985873,0.2871053080000271,-0.103121630050024,-0.1756582579423943,0.09526601408651843
MMP7_SDC1,614,47.639984,3.884446,19.422572178477694,36301.668,10.499646,614,1,4,0.0,0.0,0.0,0.0,1.0,-0.08150375441990565,-0.08617672310982265,0.09660058783447546,0.0598452019736672,0.19965995038092357
MMP7_CD151,632,45.36844,3.8366191,17.06036745406824,34570.75,10.450792,632,1,4,0.0,0.0,0.0,0.0,1.0,-0.1468433539064349,-0.10652416941822165,0.10203667442986239,0.012734459948146261,0.15425838720110352
THBS1_CD47,248,8.537571,2.2552388,67.45406824146983,6505.629,8.780577,248,1,4,0.0,0.0,0.0,0.0,1.0,-0.019102901264728668,0.056332952920947164,-0.06790177196933093,-0.12365221634937563,0.17461814354195715
THBS1_SDC1,693,55.08243,4.0268226,9.055118110236215,41972.812,10.644801,693,1,4,0.0,0.0,0.0,0.0,1.0,-0.26639058137943966,-0.29061315603848126,0.24988020501782673,0.3498967957002685,-0.04367643678403346
THBS1_ITGB1,273,8.858603,2.2883444,64.1732283464567,6750.255,8.817484,273,1,1,0.0,1.0,0.0,0.0,0.0,0.4426524160940417,0.6999041669640065,-0.25732283643720544,-0.35519976846385387,0.041401342465209226
THBS1_LRP5,404,16.106693,2.83947,46.981627296587924,12273.3,9.415263,404,1,4,0.0,0.0,0.0,0.0,1.0,0.10247348561654364,-0.09891810657113645,0.0022490809848842055,0.04948246233654976,0.03731148425710372
THBS1_SDC4,701,59.033737,4.094907,8.005249343832022,44983.707,10.714078,701,1,4,0.0,0.0,0.0,0.0,1.0,-0.27218636951387976,-0.15526299177222552,0.21989918146186355,0.24571513291163008,-0.02539234805544461
