,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
116,0.7584138940690668,4,CDH1_LRP5,2.019860877041703,0.30496921296122176,-97.22465740435605,-9.174685329136747,24.152800058129454,SE,64,0.035747284971359546,1.108426692434899,0.0009198188781738281,211.08484714215078,-104.30496213918967,7.080304734833618,0.00779357553908866,0.0
81,0.7066915423642146,4,LTF_TFRC,2.019860877041703,0.397360797354512,-98.5511867561698,14.51669576376133,56.906640816848984,SE,64,0.009308320948633934,0.23545502238732358,0.001125335693359375,213.73790584577827,-105.62704500520815,7.0758582490383475,0.00781293902075686,0.0
224,0.685929384973666,4,FN1_ITGAV,2.019860877041703,0.43836737290352634,-90.00105236944788,21.585426540685607,122.6033884059461,SE,64,0.013217131787162424,0.31399594575599327,0.0013306140899658203,196.63763707233443,-97.00465041436013,7.003598044912252,0.008134605291343355,0.0
249,0.834229225716445,4,WNT7B_LRP5,2.019860877041703,0.19024484229955965,-96.54326869368631,-20.772985673793375,123.59102465509667,SE,64,0.040441798107796474,2.025679054480806,0.0011332035064697266,209.7220697208113,-103.52712066889943,6.983851975213113,0.008224839401944295,0.0
315,0.41534772128593705,4,APOE_LRP8,3.2370446538154347,1.245267603466953,-108.46903388796707,39.44990943652846,184.93677628852808,SE,64,0.008332232427087067,0.16339735955885387,0.0011241436004638672,233.57360010937282,-115.34435207181087,6.8753181838438024,0.008739419684524075,0.0
490,0.19108278979196056,4,COL1A1_ITGA5,21.352937182434793,0.5770510969295671,-70.30928513101522,-23.594745859502762,12.582617550831635,SE,64,0.011847530411439572,0.489727584747231,0.001123189926147461,157.2541025954691,-77.17468924971737,6.865404118702159,0.008788037191421072,0.0
164,0.6356771884667541,4,TGM2_ADGRG1,2.019860877041703,0.5487064482603958,-109.60301635565426,-13.485087679358887,47.398797215816714,SE,64,0.008789441646988734,0.1858593630053512,0.0011129379272460938,235.8415650447472,-116.43796533807236,6.834948982418098,0.008939124672953103,0.0
286,0.803857218433009,4,CD59_CD2,2.019860877041703,0.23360586381301993,-104.82914217414233,-2.8341947392871534,3.943491994890305,SE,64,0.02547482445084107,1.0178595325677309,0.0009279251098632812,226.29381668172334,-111.63730580963846,6.808163635496129,0.009074203687108429,0.0
86,0.7421922645522523,4,TGFB3_ITGB6,2.019860877041703,0.332559873642913,-98.90494627122074,2.2743221043651505,2.63976057960669,SE,64,0.017026009496764905,0.49121857049010287,0.0011615753173828125,214.44542487588015,-105.69660483742918,6.79165856620844,0.009158478062175734,0.0
294,0.7806884699618387,4,VEGFA_SIRPA,2.019860877041703,0.2689515339002868,-98.71290483290015,29.574281255071448,242.45393703573632,SE,64,0.024766356390548454,0.860406505080403,0.0009295940399169922,214.06134199923898,-105.41879465030433,6.705889817404184,0.009609496533818151,0.0
122,0.7279226702394923,4,TIMP3_MET,2.019860877041703,0.35784704685866797,-98.1020950289879,25.541747832762734,175.9428706532746,SE,64,0.012166882421145747,0.3316155259406128,0.0013301372528076172,212.83972239141448,-104.80021602211298,6.698120993125073,0.009651457102694772,0.0
101,0.5963077685432484,4,LAMC1_ITGAV,2.019860877041703,0.648142128192234,-105.73366363812569,5.9837323033147305,9.94123989056455,SE,64,0.009949079851720942,0.19781892076159063,0.0010976791381835938,228.10285960969006,-112.41754019131145,6.683876553185755,0.009728881761482011,0.0
102,0.7173939643876295,4,IL1RN_IL1R1,2.019860877041703,0.3771499377120758,-83.84569053552522,33.8653985978502,306.1240656712802,SE,64,0.01292933935234246,0.3391106692790185,0.0011026859283447266,184.32691340448912,-90.52880297084197,6.683112435316744,0.00973305301166405,0.0
259,0.7354835374062132,4,MST1_MST1R,2.019860877041703,0.34432620501159145,-89.99180402341419,-6.743033332245123,13.16030441028779,SE,64,0.015898443966174243,0.4462615062127734,0.001125335693359375,196.61914038026705,-96.60427095608735,6.612466932673158,0.01012672785575508,0.0
113,0.7258518532360397,4,ADAM10_MET,2.019860877041703,0.3615993577435855,-98.49156390941033,34.52350821975019,320.10091351229465,SE,64,0.013791043147854743,0.3729671055796094,0.0011343955993652344,213.61866015225934,-105.10032769207103,6.608763782660702,0.010147808487723342,0.0
151,0.724504210977694,4,JAG2_NOTCH4,2.019860877041703,0.3640528011400158,-104.31409509551904,19.1227621390062,99.19026978978913,SE,64,0.008311139805902255,0.22364518185863982,0.0012946128845214844,225.26372252447675,-110.91217573096574,6.598080635446706,0.010208876043886539,0.0
115,0.8072001975803157,4,VWF_SIRPA,2.019860877041703,0.22867340101807773,-99.1549912490532,32.95426415710698,304.88805526848347,SE,64,0.025016162483363826,1.0220618472795961,0.0009424686431884766,214.94551483154507,-105.71195721337361,6.556965964320412,0.010447434686428503,0.0
141,0.7121323451939311,4,FGA_ITGAX,2.019860877041703,0.38701026450463044,-99.10018165956514,36.53330547919321,355.4889752461719,SE,64,0.010230864871259437,0.2635082508726428,0.0011034011840820312,214.83589565256895,-105.63029352147252,6.530111861907386,0.010606328661139641,0.0
307,0.4006044541001008,4,COL1A1_ITGA1,3.2370446538154347,1.323654416103009,-106.46627651153332,13.090210247823075,20.87153739171542,SE,64,0.006066212701341576,0.1210970713696474,0.0011012554168701172,229.56808535650532,-112.97077212264982,6.504495611116496,0.010760208320358622,0.0
371,0.41387550330203876,4,PLAU_ITGAV,3.2370446538154347,1.2528440827443181,-95.39949111039067,25.816097302066353,79.32888959146067,SE,64,0.006320927379990886,0.12415851651703826,0.0011327266693115234,207.43451455422002,-101.89803938354783,6.498548273157155,0.010796261023826026,0.0
282,0.8591890084971289,4,THBS2_CD47,2.019860877041703,0.1569055010425063,-94.6658485715589,41.39762656370691,492.45233815639136,SE,64,0.01234894889333347,0.7819752027137257,0.0009133815765380859,205.96722947655647,-101.15290713838404,6.487058566825141,0.010866262845571018,0.0
317,0.39574579518883696,4,LAMC1_ITGA1,3.2370446538154347,1.3507663941426662,-109.65762494447641,-6.589402108194395,5.9762326575140765,SE,64,0.005816929693830403,0.11688417249212148,0.00112152099609375,235.9507822223915,-116.13542954527023,6.477804600793817,0.010922981693042066,0.0
