"","gene_name","sigma.sq","tau.sq","phi","loglik","runtime","mean","var","spcov","prop_sv","loglik_lm","LR_stat","rank","pval","padj"
"LAMB2_ITGB4","LAMB2_ITGB4",6.48589629712925,0.918849096054571,7.27045632847688,-1440.78719934876,0.341000000000001,4.32164006869975,7.1765088634449,0.589299953394123,0.875910777850595,-1831.61059992034,781.64680114315,116,0,0
"LAMA5_ITGB4","LAMA5_ITGB4",9.93845523342747,0.567462871684543,5.20900646745989,-1398.50747369605,0.312999999999995,3.84282201356005,9.36195401329893,0.820368871714977,0.945986360639112,-1932.89601966785,1068.77709194361,6,0,0
"LAMC1_ITGB4","LAMC1_ITGB4",5.76349014445646,5.76349014445646e-08,13.4906869825672,-1368.14529883787,0.259999999999998,5.31756998706455,4.87984425325075,0.451470692281849,0.99999999,-1684.65900276924,633.027407862732,328,0,0
"LAMB3_ITGB4","LAMB3_ITGB4",5.75788626235071,1.14180687153132,8.77613554388251,-1488.73881023651,0.291000000000004,4.27852515119458,6.74148663434543,0.560838025437953,0.834513383512044,-1807.7856928088,638.093765144576,321,0,0
"LAMB1_ITGB4","LAMB1_ITGB4",5.80406335733045,1.26667491582218,10.9686931056672,-1547.63294865933,0.359000000000002,4.3877360809259,6.27005041326985,0.549067293991969,0.820856766735137,-1780.1646884281,465.063479537531,452,0,0
"LAMC2_ITGB4","LAMC2_ITGB4",3.77425827299165,0.201049911047967,19.5680332065984,-1371.40865589358,0.262,5.11685755670553,3.49871246697976,0.379675418746462,0.949425327109189,-1557.89334197558,372.969372163985,482,0,0
"HBEGF_CD82","HBEGF_CD82",7.06578839854138,7.70407385554184e-08,15.441145951211,-1489.14478265451,0.264000000000003,3.46560057362851,6.70930841315292,0.767011378759548,0.999999989096654,-1805.96276329137,633.63596127373,327,0,0
"LTB_LTBR","LTB_LTBR",6.77507819935421,1.32059528136509e-07,17.8486568043165,-1517.96257606028,0.244,4.42627499048046,5.97533720877784,0.588056106816515,0.999999980508044,-1761.82187694293,487.718601765308,444,0,0
"CD55_ADGRE5","CD55_ADGRE5",6.71242543022151,6.71242543022151e-08,16.2436341452515,-1485.48978912832,0.213999999999999,3.20552149413635,6.65011256471161,0.808241309663462,0.99999999,-1802.58630470075,634.19303114485,326,0,0
"AGRN_LRP1","AGRN_LRP1",6.42645752400798,1.15093427565334,7.09419103876813,-1474.88739153199,0.277000000000001,2.9449275106915,6.67387921093761,0.860817746143214,0.848109441073803,-1803.94552226382,658.116261463661,294,0,0
"GPC3_LRP1","GPC3_LRP1",6.69497294098586,6.69497294098586e-08,13.3645203622663,-1422.15441840964,0.187000000000005,3.34898658099094,6.22417940219422,0.77261121092943,0.99999999,-1777.36708761523,710.425338411179,208,0,0
"PDGFB_LRP1","PDGFB_LRP1",5.91299474394565,5.91299474394565e-08,14.9227023391501,-1410.44853367639,0.198,3.44851797060886,5.78874966908985,0.705133345823309,0.99999999,-1749.73495247872,678.572837604651,262,0,0
"A2M_LRP1","A2M_LRP1",6.19962946967371,6.19962946967371e-08,13.2746150946096,-1390.6587395286,0.257,3.2657259302836,5.85311147428555,0.762435540324054,0.99999999,-1753.94769772822,726.577916399232,188,0,0
"SERPINA1_LRP1","SERPINA1_LRP1",5.97858983271966,3.96416836347234e-06,16.3808749750713,-1443.99712320388,0.898,2.74613025964527,6.31196306021513,0.890385842549644,0.999999336939672,-1782.70303852387,677.411830639974,265,0,0
"HSPG2_LRP1","HSPG2_LRP1",5.25121235020401,0.277370055180924,15.0462688821889,-1428.48476423264,0.253,3.24796654179152,5.74017663949281,0.705534481105322,0.949829805392652,-1746.52451756368,636.079506662078,325,0,0
"APOE_LRP1","APOE_LRP1",6.13093099345402,0.220887965542425,12.761731664485,-1422.7269148124,0.302,3.35917310949382,6.48851843795687,0.737107497928344,0.965224455078404,-1793.21387206588,740.97391450695,166,0,0
"HSP90B1_LRP1","HSP90B1_LRP1",7.11688341050196,7.11688341050196e-08,11.3877259727234,-1392.23576676906,0.286,3.33029861284721,6.13550954913553,0.801053918397964,0.99999999,-1771.90031676839,759.329099998663,144,0,0
"MDK_LRP1","MDK_LRP1",5.89679334697589,5.89679334697589e-08,14.1881531845964,-1393.21620825153,0.253,3.47631351137215,5.90364002633879,0.698536361453775,0.99999999,-1757.22266647544,728.012916447827,187,0,0
"PLAU_LRP1","PLAU_LRP1",5.98475501562934,4.29542424476487e-05,16.945812049617,-1454.87844629209,0.381,3.26055437340546,6.01208696862585,0.750294463461374,0.99999282277486,-1764.15794216593,618.558991747673,343,0,0
"LRPAP1_LRP1","LRPAP1_LRP1",5.89191149444207,5.89191149444207e-08,14.9605678051505,-1409.89495287199,0.301,3.48339215114195,5.92424448171696,0.696828232773808,0.99999999,-1758.55008989333,697.310274042672,229,0,0
"C3_LRP1","C3_LRP1",6.53774182834956,6.53774182834956e-08,13.2149924276959,-1409.41558771189,0.265999999999998,3.28460174982941,6.27425775853695,0.7784507893622,0.99999999,-1780.42026228437,742.009349144955,164,0,0
"THBS1_LRP1","THBS1_LRP1",5.55477379711838,5.55477379711838e-08,16.1864945097536,-1412.26746603616,0.301000000000002,3.26469389517576,5.63007866129172,0.721922740014265,0.99999999,-1739.14585461293,653.756777153534,305,0,0
"HSP90AA1_LRP1","HSP90AA1_LRP1",6.13752501328802,8.32770458003585e-08,14.702073521788,-1419.89239698189,0.254999999999999,3.11850009468051,6.03340108695911,0.794421292751244,0.999999986431494,-1765.50627899094,691.227764018102,240,0,0
"CALR_LRP1","CALR_LRP1",5.63122363665955,5.63122363665955e-08,13.7935698428282,-1366.52866295345,0.316000000000003,3.2583057098066,5.57452030899386,0.728298739149366,0.99999999,-1735.36742295856,737.677520010206,173,0,0
"C1QB_LRP1","C1QB_LRP1",6.46082834947632,6.46082834947632e-08,13.0370927764172,-1400.45687269408,0.157999999999998,3.12047393843788,6.12445876888245,0.814560866465024,0.99999999,-1771.2134718586,741.513198329055,165,0,0
