,cluster,pvals_adj,logfoldchanges,names,sample
205,1,1.2488330636911462e-21,9.150762,HLA-A_ERBB2,A1
206,1,1.8916789124340427e-21,7.071908,SEMA4D_ERBB2,A1
246,1,5.737951668238592e-09,5.0875545,COL1A1_CD44,A1
624,2,4.600841187452175e-59,5.2618427,APOE_LRP6,A1
632,2,1.3990243801306583e-55,8.622777,LAMA5_ITGB4,A1
641,2,2.1531816348779605e-53,5.8451533,LAMB2_ITGB4,A1
646,2,4.393021824023278e-53,6.8837686,LTBP3_ITGB5,A1
649,2,1.1113464367759076e-52,5.407369,COMP_ITGB1,A1
650,2,1.594054172045876e-52,9.437549,COL1A1_TMPRSS6,A1
651,2,3.461469487172552e-52,9.922413,FN1_TMPRSS6,A1
652,2,1.0533969794564369e-51,5.5828567,MIF_CD44,A1
658,2,9.328293726289986e-51,12.034518,AREG_ERBB3,A1
659,2,1.1817674059606958e-50,9.07592,ADAM15_ITGA5,A1
662,2,2.0771463669458707e-50,7.1821823,SEMA3F_PLXNA1,A1
676,2,9.823826622303625e-49,6.7856746,ADAM15_ITGB1,A1
680,2,3.111392328022524e-47,6.3823385,COL18A1_GPC1,A1
691,2,2.8402175779786194e-44,5.4914727,COL18A1_ITGA5,A1
696,2,1.9347643590382714e-43,6.9220247,COL18A1_ITGA3,A1
724,2,1.578121840830589e-37,7.5041447,CALR_ITGA3,A1
729,2,4.77617682460503e-37,7.0087366,FN1_ITGA3,A1
741,2,1.7590079636870275e-34,5.352805,ADAM15_ITGAV,A1
784,2,4.569884094330572e-25,6.0393205,FN1_ITGB6,A1
1242,3,1.0628259133205384e-19,12.959386,LAMC2_ITGA3,A1
1243,3,1.0628259133205384e-19,5.2506657,FGF2_FGFR3,A1
1244,3,1.0628259133205384e-19,6.75144,FGF6_FGFR3,A1
1245,3,1.0628259133205384e-19,7.8935475,LAMB3_ITGB1,A1
1246,3,1.0628259133205384e-19,18.924559,LAMC2_ITGB4,A1
1247,3,1.0628259133205384e-19,24.879597,APP_GPC1,A1
1248,3,1.0628259133205384e-19,7.730932,LAMC2_ITGB1,A1
1249,3,1.0628259133205384e-19,14.836954,MDK_ITGB1,A1
1250,3,1.0628259133205384e-19,5.8843675,ADM2_RAMP3,A1
1251,3,1.0628259133205384e-19,10.88331,GNAI2_S1PR3,A1
1252,3,1.0628259133205384e-19,11.222608,MIF_CXCR4,A1
1253,3,1.0628259133205384e-19,9.937538,COL16A1_ITGB1,A1
1254,3,1.0628259133205384e-19,6.868774,LAMB3_ITGA2,A1
1256,3,1.0628259133205384e-19,22.100632,MDK_SDC1,A1
1257,3,1.0628259133205384e-19,10.184561,TNC_ITGB1,A1
1258,3,1.0628259133205384e-19,7.0474057,LAMC2_ITGA2,A1
1259,3,1.0628259133205384e-19,6.14647,INSL3_VIPR1,A1
1260,3,1.0628259133205384e-19,5.917948,NRTN_RET,A1
1261,3,1.0628259133205384e-19,12.486611,COL7A1_ITGB1,A1
1262,3,1.0628259133205384e-19,9.554317,COL7A1_ITGA2,A1
1263,3,1.0628259133205384e-19,7.153864,TNC_ITGA2,A1
1264,3,1.0628259133205384e-19,19.874851,LAMB3_ITGB4,A1
1265,3,1.0628259133205384e-19,8.397681,THBS1_ITGB1,A1
1266,3,1.0628259133205384e-19,14.411262,AGRN_ITGB1,A1
1267,3,1.0628259133205384e-19,13.398477,LAMB3_ITGA3,A1
1268,3,1.0628259133205384e-19,7.925176,TGFB1_ITGB1,A1
1270,3,1.0628259133205384e-19,27.708443,COL18A1_GPC1,A1
1271,3,1.0628259133205384e-19,12.372086,CD14_ITGB1,A1
1272,3,1.0628259133205384e-19,7.4272447,COL6A1_ITGB1,A1
1273,3,1.0628259133205384e-19,19.28052,SEMA4C_PLXNB2,A1
1274,3,1.0628259133205384e-19,5.139089,CXCL14_CXCR4,A1
1275,3,1.0628259133205384e-19,16.96453,LGALS1_ITGB1,A1
1276,3,1.0628259133205384e-19,6.681931,FGF13_FGFR3,A1
1277,3,1.0628259133205384e-19,6.3607073,TIMP2_ITGB1,A1
1278,3,1.0628259133205384e-19,26.805223,APP_NGFR,A1
1279,3,1.0628259133205384e-19,7.4242964,LGALS3BP_ITGB1,A1
1281,3,1.0628259133205384e-19,8.858998,SPTBN2_PTPRA,A1
1282,3,1.0628259133205384e-19,10.239454,APP_TSPAN15,A1
1283,3,1.0628259133205384e-19,12.346123,MFAP2_NOTCH1,A1
1284,3,1.0628259133205384e-19,14.9910145,S100A10_TRPV6,A1
1285,3,1.0628259133205384e-19,45.4419,CALR_ITGA3,A1
1287,3,1.0628259133205384e-19,8.399749,FARP2_PLXNA1,A1
1288,3,1.0628259133205384e-19,14.928451,GNAI2_ADCY9,A1
1289,3,1.0628259133205384e-19,5.814755,ADM2_VIPR1,A1
1290,3,1.0628259133205384e-19,16.869413,COL18A1_ITGB1,A1
1291,3,1.0628259133205384e-19,7.6979074,NTN1_NEO1,A1
1292,3,1.0628259133205384e-19,18.170736,TNC_ITGB6,A1
1293,3,1.0628259133205384e-19,5.195434,FGF13_FGFR2,A1
1294,3,1.0628259133205384e-19,8.167503,LAMB1_ITGB4,A1
1295,3,1.0628259133205384e-19,20.26544,TNC_SDC1,A1
1296,3,1.0628259133205384e-19,5.2590175,NID1_ITGA3,A1
1297,3,1.0628259133205384e-19,8.540884,EFNB1_EPHB4,A1
1298,3,1.0628259133205384e-19,15.055879,GNAI2_IGF1R,A1
1299,3,1.0628259133205384e-19,9.074998,LAMA2_ITGB4,A1
1300,3,1.0628259133205384e-19,6.146571,FBLN1_ITGB1,A1
1301,3,1.0628259133205384e-19,14.893725,COMP_ITGB1,A1
1302,3,1.0628259133205384e-19,5.651478,TNC_ITGA7,A1
1303,3,1.0628259133205384e-19,9.055391,EFNB1_EPHB6,A1
1304,3,1.0628259133205384e-19,27.725384,PTN_SDC1,A1
1305,3,1.0628259133205384e-19,11.84948,TIMP2_ITGA3,A1
1306,3,1.0628259133205384e-19,13.718714,FGF6_SDC4,A1
1307,3,1.0628259133205384e-19,14.218458,MDK_SDC4,A1
1310,3,1.0628259133205384e-19,10.290153,WNT7B_LRP5,A1
1311,3,1.0628259133205384e-19,17.240374,SEMA3F_PLXNA1,A1
1312,3,1.0628259133205384e-19,11.749505,WNT7B_FZD1,A1
1313,3,1.0628259133205384e-19,13.510566,LGALS8_ITGA3,A1
1314,3,1.0628259133205384e-19,5.813794,LAMB2_ITGB1,A1
1315,3,1.0628259133205384e-19,20.094416,ADAM15_ITGB1,A1
1316,3,1.0628259133205384e-19,15.760454,THBS1_ITGA3,A1
1318,3,1.0628259133205384e-19,14.319881,SEMA4D_PLXNB2,A1
1319,3,1.0628259133205384e-19,7.6298037,BMP1_BMPR2,A1
1320,3,1.0628259133205384e-19,20.282768,LAMB2_ITGB4,A1
1321,3,1.0628259133205384e-19,9.272893,EFNB1_EPHB3,A1
1322,3,1.0628259133205384e-19,31.543924,COL18A1_ITGA3,A1
1324,3,1.0728274192134235e-19,5.3721633,VCAM1_ITGB1,A1
1325,3,1.0779414185219346e-19,19.186274,CALM3_ESR1,A1
1326,3,1.0831023432757038e-19,8.236271,GPC3_IGF1R,A1
1327,3,1.0883104129880969e-19,10.084362,EFNA1_EPHB6,A1
1328,3,1.088879167627197e-19,13.97377,TNC_SDC4,A1
1330,3,1.09107319117114e-19,5.5801654,LAMA2_ITGA3,A1
1331,3,1.09107319117114e-19,7.416931,WNT3A_FZD2,A1
1332,3,1.0982923014375075e-19,13.49879,MIF_CD44,A1
1333,3,1.127102139296148e-19,47.354534,AREG_ERBB3,A1
1334,3,1.1282905145051428e-19,11.404875,LAMB2_ITGA3,A1
1335,3,1.1619305794862784e-19,5.589484,WNT3A_FZD1,A1
1336,3,1.1917516371319744e-19,14.069679,RTN4_NGFR,A1
1337,3,1.1981320965289269e-19,9.9784155,EFNA3_EPHB6,A1
1338,3,1.2045653944819198e-19,15.277731,TGFB1_ITGB6,A1
1339,3,1.2193083247203147e-19,10.994517,COL6A2_ITGB1,A1
1340,3,1.2193083247203147e-19,21.15621,HSP90AA1_FGFR3,A1
1341,3,1.2326444130968313e-19,10.207337,ADAM9_ITGA3,A1
1343,3,1.2345339150245256e-19,8.039,TNC_ITGAV,A1
1344,3,1.2413312001430084e-19,7.2653127,FGF6_FGFR4,A1
1345,3,1.2860071826198974e-19,13.849456,VEGFA_RET,A1
1346,3,1.288203363757222e-19,31.880665,FN1_TMPRSS6,A1
1347,3,1.288203363757222e-19,11.005828,VEGFB_RET,A1
1348,3,1.3199768837447104e-19,7.1777062,JAG2_NOTCH1,A1
1349,3,1.3884708304927856e-19,24.898514,LAMA5_ITGB4,A1
1351,3,1.3884708304927856e-19,14.851382,TIMP1_FGFR2,A1
1352,3,1.4525161528812085e-19,7.324735,LAMA5_ITGB1,A1
1356,3,1.5785394460456111e-19,8.473202,S100A9_CD36,A1
1357,3,1.7970704129641225e-19,6.2196846,VEGFA_GPC1,A1
1359,3,1.913824434414605e-19,14.235986,LAMA5_ITGA3,A1
1361,3,1.9363857995636326e-19,12.01884,FGF2_SDC1,A1
1364,3,2.0825323877244278e-19,6.0200634,VEGFA_ITGB1,A1
1368,3,2.227046855444797e-19,8.288295,HSPG2_ITGB1,A1
1369,3,2.261397819795215e-19,9.254628,WNT7B_FZD4,A1
1370,3,2.274992167248434e-19,8.709019,FGF2_SDC4,A1
1371,3,2.324050992740019e-19,7.8894553,GNAI2_S1PR4,A1
1372,3,2.36649045011522e-19,5.062179,HRAS_INSR,A1
1374,3,2.4862187265354006e-19,11.677961,LPL_SDC1,A1
1375,3,2.6440065298055296e-19,26.401802,COL1A1_TMPRSS6,A1
1376,3,2.8830788453410626e-19,24.884758,FN1_ITGA3,A1
1377,3,3.0857625092136227e-19,8.330432,GNAI2_CCR5,A1
1378,3,3.1047115417056966e-19,11.906613,FN1_ITGB1,A1
1381,3,3.679176074900347e-19,5.546337,LGALS9_MRC2,A1
1382,3,3.806167445003877e-19,5.300619,MFNG_NOTCH1,A1
1383,3,4.359210232542585e-19,5.476866,FGF1_FGFR4,A1
1384,3,5.086007673978896e-19,7.5159693,S100A9_ITGB2,A1
1386,3,5.562001025024335e-19,6.9021945,JAG2_NOTCH3,A1
1391,3,7.461630680117937e-19,25.412498,FN1_ITGB6,A1
1395,3,1.0974316559960307e-18,9.317041,CDH1_IGF1R,A1
1396,3,1.5161844196906844e-18,6.5927505,PLAU_ITGA3,A1
1399,3,2.0050103693408358e-18,7.211622,TGFB3_ITGB6,A1
1401,3,2.124676101594402e-18,7.027113,LGALS1_PTPRC,A1
1406,3,2.9925237385738236e-18,5.2399435,LUM_ITGB1,A1
1409,3,3.9133487512012906e-18,5.2035975,EPO_EPHB4,A1
1412,3,4.430579535584496e-18,7.4379754,GNAI2_EGFR,A1
1417,3,1.1754066832998612e-17,6.3977838,COL3A1_ITGB1,A1
1421,3,1.843526279479668e-17,6.3948483,COL1A2_ITGB1,A1
1423,3,2.2450850767388174e-17,6.3166203,SORBS1_ITGB5,A1
1426,3,3.051098652781354e-17,6.094344,SEMA4D_PLXNB1,A1
1429,3,4.0996986635560224e-17,8.173136,APOE_LRP5,A1
1435,3,1.2325505198517535e-16,7.0984507,COL1A1_ITGB1,A1
1441,3,3.558694024543178e-16,5.441997,COL18A1_ITGB5,A1
1447,3,8.033992947326587e-16,6.6633325,GNAS_ADCY9,A1
1451,3,7.303930455168637e-15,7.699872,EFNB1_ERBB2,A1
1454,3,1.1261305282261007e-14,5.4543924,CALR_ITGAV,A1
1494,3,8.337517452433326e-06,5.5815735,SEMA4D_ERBB2,A1
1,1,1.5855286993737665e-51,8.91046,FN1_CD79A,B1
2,1,1.5855286993737665e-51,5.330628,IL27_IL27RA,B1
3,1,1.5855286993737665e-51,9.68981,ICAM1_IL2RA,B1
7,1,8.324915902413211e-51,14.788435,CXCL9_CXCR3,B1
8,1,9.296318987469218e-51,6.3090186,CXCL11_CXCR3,B1
9,1,9.296318987469218e-51,5.081643,ICAM4_ITGAV,B1
14,1,1.781049891430344e-50,11.826495,CXCL9_FCGR2A,B1
15,1,1.9409568663378118e-50,12.841864,CXCL13_CXCR3,B1
16,1,2.0041897464026822e-50,5.5904975,EGF_ERBB3,B1
17,1,2.2431163064096324e-50,9.177496,ICAM1_ITGAL,B1
19,1,2.2700857787479164e-50,5.7983456,IL15_IL2RB,B1
20,1,2.2700857787479164e-50,10.621483,EREG_ERBB2,B1
21,1,2.2862461664826197e-50,8.367124,COL1A1_FLT4,B1
22,1,2.384482629752345e-50,5.09613,LAMA1_SDC4,B1
24,1,3.2201045691584214e-50,8.552907,COL1A2_FLT4,B1
27,1,4.0936317163062965e-50,12.160892,GNAI2_S1PR1,B1
30,1,4.387419367140508e-50,5.0000997,NGF_MAGED1,B1
33,1,5.336422302711461e-50,6.0042953,EREG_ERBB3,B1
35,1,8.388369686182027e-50,5.001733,ICAM4_ITGB2,B1
36,1,9.055753638255155e-50,11.900397,CXCL10_CXCR3,B1
37,1,1.2350660387520511e-49,5.8817587,EBI3_IL27RA,B1
38,1,1.2624504133090692e-49,12.41959,ICAM1_IL2RG,B1
44,1,2.3665130247850795e-49,12.671211,PLAU_ITGB2,B1
45,1,2.4529883731394927e-49,7.7231407,FN1_ITGB7,B1
46,1,2.5522479333125656e-49,5.092796,PDGFB_S1PR1,B1
49,1,4.1815783260204604e-49,7.043479,FN1_ITGA5,B1
50,1,7.285143508576517e-49,13.540983,ICAM1_ITGB2,B1
51,1,9.219802061961964e-49,13.577483,B2M_CD3G,B1
52,1,2.040991809233486e-48,8.465061,FN1_FLT4,B1
53,1,3.1773256618182297e-48,5.8285837,ICAM1_ITGAM,B1
55,1,7.043733013080969e-48,14.139712,ICAM1_ITGAX,B1
56,1,1.4600758186236238e-47,5.8196096,IL15_IL2RG,B1
61,1,5.5768543631380766e-46,8.7839985,PLAU_ITGA3,B1
62,1,6.880684020211311e-46,12.998238,PLAU_ITGAV,B1
63,1,8.399059105908269e-46,5.049449,IL10_IL10RA,B1
64,1,1.3801405752875464e-45,7.2154946,PLAU_MRC2,B1
68,1,9.627014068037985e-45,7.35877,GNAS_ADCY7,B1
71,1,2.486537622598558e-44,5.9023185,FASLG_TNFRSF1A,B1
73,1,4.3488841608660555e-44,6.4926457,COL4A1_ITGA1,B1
75,1,6.864852402461341e-44,5.7466984,FADD_FAS,B1
79,1,1.0595815214590297e-43,11.533826,SERPINE1_ITGAV,B1
83,1,1.1973723965657567e-42,5.2995424,EBI3_IL6ST,B1
84,1,1.3697902269815354e-42,11.46569,PLAU_ITGB5,B1
90,1,1.1032147893183662e-41,10.271666,SERPINE1_ITGB5,B1
92,1,1.568162159809463e-41,17.992619,FN1_ITGAV,B1
93,1,1.6060261973611651e-41,11.685576,COL4A1_ITGAV,B1
94,1,1.6060261973611651e-41,16.456766,FN1_CD44,B1
95,1,1.678781147512873e-41,5.3480844,CALM1_HTR2C,B1
96,1,1.716541236550109e-41,5.1416364,MADCAM1_CD44,B1
99,1,2.697201641340435e-41,13.0623,ADAM9_ITGAV,B1
101,1,2.830178772965896e-41,8.647387,ADAM10_GPNMB,B1
102,1,3.234246560502669e-41,13.911254,VEGFA_ITGAV,B1
103,1,3.6588709288035153e-41,6.7671294,HMGB1_CXCR4,B1
104,1,4.016286967998061e-41,12.028627,FN1_ITGA3,B1
106,1,4.73841724609493e-41,6.030723,FN1_SDC2,B1
107,1,5.063830175346636e-41,9.137428,ADAM9_ITGA3,B1
108,1,5.559538717290388e-41,10.200841,ADAM9_ITGB5,B1
109,1,6.103473585396304e-41,7.1365857,LTBP1_ITGB5,B1
110,1,9.04605522760682e-41,5.842192,ADAM9_ITGA6,B1
112,1,1.353751852699046e-40,10.668039,VEGFA_GPC1,B1
114,1,1.6994578976817858e-40,9.093897,FN1_ITGA6,B1
115,1,3.065967452557636e-40,5.0909767,CSF1_CSF1R,B1
116,1,4.102523057177015e-40,6.5822062,PDGFB_ITGAV,B1
120,1,7.236289533938206e-40,11.788306,HLA-B_CD3G,B1
121,1,9.65751122241511e-40,10.588784,HLA-C_CD3G,B1
122,1,1.0188036154099176e-39,5.9904532,FARP2_PLXNA1,B1
124,1,1.2080106767260466e-39,6.366125,ADAM10_NOTCH2,B1
125,1,2.1215791638718565e-39,6.3879085,SPTBN2_PTPRA,B1
126,1,3.683832230660695e-39,6.125684,EFNB2_PECAM1,B1
127,1,4.261730482005185e-39,6.3871717,PSEN1_NOTCH2,B1
128,1,4.649704479267666e-39,6.7567344,ADAM10_CD44,B1
132,1,1.3151128750681903e-38,5.421834,PSEN1_NCSTN,B1
133,1,1.5133835615630955e-38,8.509842,TNC_ITGAV,B1
134,1,1.7665663321531347e-38,6.455006,SEMA3C_NRP1,B1
136,1,2.962583101474054e-38,6.9045615,FADD_TRADD,B1
137,1,3.064144128884708e-38,6.873926,EFNA1_EPHA1,B1
139,1,4.637936107823889e-38,6.3842263,PSEN1_CD44,B1
142,1,1.1716990634756344e-37,6.522262,COL1A2_ITGAV,B1
151,1,3.6754393040907396e-37,10.287653,HLA-A_CD3G,B1
165,1,9.244669868866982e-35,7.2786994,CXCL10_SDC4,B1
173,1,2.7053173402388555e-34,5.247811,FARP2_PLXNA3,B1
179,1,7.357995120717503e-34,6.074416,NRG2_ERBB2,B1
185,1,3.1610444466131235e-33,6.893007,GNAS_ADCY9,B1
188,1,9.400784046226206e-33,5.8700714,TNC_SDC4,B1
204,1,1.3703146619564322e-29,6.075929,VCL_ITGB5,B1
214,1,1.8038320327646413e-27,10.720601,B2M_CD247,B1
215,1,1.911245538223018e-27,7.0699105,GNAI2_CXCR3,B1
233,1,3.51277667345011e-24,7.3803477,LYZ_ITGAL,B1
247,1,9.731742771825952e-22,7.14402,AREG_ERBB3,B1
267,1,2.574231087914572e-16,5.0976954,TGFB1_ITGB5,B1
294,1,1.2999739024496015e-11,6.696386,CALM3_ESR1,B1
295,1,1.6330419455779338e-11,5.1487665,CCL5_CXCR3,B1
326,1,4.192078034879497e-05,5.845439,HLA-B_CANX,B1
636,2,1.4022176255777902e-73,8.373435,PTN_SDC1,B1
638,2,8.683685322478961e-67,7.647487,SCGB3A1_NOTCH3,B1
640,2,1.5914250755214977e-64,5.877311,DCN_MET,B1
641,2,7.487753130448838e-63,10.094645,SLPI_CD4,B1
645,2,1.209645724322286e-61,9.9546,LAMB3_ITGB4,B1
647,2,3.0787504493273844e-59,8.690242,APOD_LEPR,B1
648,2,5.04865367140951e-59,5.2021675,BGN_TLR4,B1
650,2,1.6184004282318192e-58,5.7332973,HSPG2_SDC1,B1
651,2,3.4120170264679495e-58,5.3949194,EFNB3_EPHB3,B1
657,2,4.2837336454222456e-54,5.316116,LAMB1_ITGB4,B1
659,2,8.23854842512391e-53,5.169149,MMP2_FGFR1,B1
663,2,2.271119238719847e-51,6.0787086,NRG1_ERBB2,B1
666,2,4.277108429898223e-49,5.885626,HSPG2_FGFR1,B1
668,2,3.26779322878925e-48,6.8068027,MFGE8_PDGFRB,B1
674,2,7.024665924038542e-46,9.9452915,LAMB2_ITGB4,B1
676,2,1.2514520669652962e-44,6.9123693,MMP2_PECAM1,B1
677,2,2.261946487319258e-44,9.454425,APOE_TREM2,B1
678,2,2.7916428655121863e-44,5.2626395,COL6A2_ITGA1,B1
679,2,1.155445989620409e-43,5.00815,CXCL12_SDC4,B1
687,2,9.726054005101736e-40,5.6647205,COL18A1_GPC1,B1
691,2,5.819937813163579e-38,5.2638173,MFGE8_ITGAV,B1
706,2,6.545241635234546e-32,11.153414,GNAI2_ADORA1,B1
707,2,9.664531478929754e-32,10.122755,C3_ITGB2,B1
712,2,9.461202290968438e-29,6.7583437,APOE_ABCA1,B1
715,2,1.32623701083967e-28,5.973787,GNAS_ADORA1,B1
719,2,3.597651022030642e-26,10.001859,CCL5_SDC1,B1
720,2,1.006820279652613e-25,10.992906,B2M_HLA-F,B1
728,2,3.1443100497268815e-22,8.527208,GAS6_AXL,B1
737,2,8.031305034314797e-21,5.90005,GNAI2_EDNRA,B1
750,2,2.1347297658910561e-19,7.3983746,CALM3_AQP1,B1
766,2,3.2199056000832305e-16,5.183277,EFEMP2_AQP1,B1
793,2,2.0631679810464863e-10,5.3337946,C3_ITGAX,B1
794,2,2.533348729029853e-10,5.157671,GRN_TNFRSF1B,B1
808,2,5.771391789011898e-09,6.586226,IL34_CSF1R,B1
811,2,2.2086190300754957e-08,8.122461,GRN_TNFRSF1A,B1
812,2,2.240701618617553e-08,5.8148913,MDK_ITGA4,B1
815,2,3.149666735601221e-08,5.354545,GSTP1_TRAF2,B1
828,2,8.006324548684763e-07,5.1891413,B2M_CD3D,B1
844,2,4.3423960516643186e-05,6.3270054,HLA-E_KLRD1,B1
848,2,0.0001258245575964116,7.3066106,MMP9_IFNAR1,B1
861,2,0.0008370440803152353,14.604657,AGTRAP_RACK1,B1
879,2,0.013235744997412847,16.676247,CALR_HLA-F,B1
1272,3,6.182123169451702e-51,5.372523,PIP_CD4,B1
1273,3,1.4881043487954618e-50,40.42044,HLA-A_ERBB2,B1
1274,3,1.3496089057404558e-48,6.224483,LGALS9_SLC1A5,B1
1275,3,1.3541188869986742e-47,24.925001,S100A4_ERBB2,B1
1277,3,1.5173614994757628e-44,6.4286003,COL1A1_ITGA5,B1
1278,3,9.558982647656706e-43,13.290412,HLA-A_CD3D,B1
1279,3,8.255449698841796e-42,12.253008,HLA-C_CD3D,B1
1280,3,1.568366742695028e-41,11.704036,CCL5_SDC4,B1
1281,3,2.4612089855422313e-41,6.520816,ADAM15_ITGA5,B1
1282,3,1.2318369832929038e-39,6.9331903,CCL19_CCR7,B1
1283,3,4.42054119186309e-38,10.088313,CALR_ITGA3,B1
1284,3,4.730670880246304e-37,26.615887,CALR_HLA-F,B1
1285,3,8.966685025582908e-37,11.105866,HLA-B_CD3D,B1
1286,3,1.657204515019707e-31,6.4090157,SEMA4G_PLXNB2,B1
1287,3,1.7664017248636872e-31,25.392996,AGTRAP_RACK1,B1
1290,3,6.868477519922384e-30,7.80773,GNAI2_S1PR4,B1
1291,3,8.119447278077037e-30,7.053236,COL18A1_ITGA5,B1
1292,3,9.739552890299372e-30,5.7651668,C3_CD19,B1
1293,3,1.3412426447864833e-29,8.392415,MDK_SDC4,B1
1296,3,2.9178929389033324e-29,9.560749,MMP9_IFNAR1,B1
1299,3,2.5289189335506808e-27,8.242032,HLA-B_KLRD1,B1
1300,3,7.568127839289042e-27,5.3999653,GNAI2_FPR1,B1
1303,3,2.0528123615064055e-25,9.938997,HLA-E_KLRD1,B1
1307,3,6.10460815929119e-24,5.1061034,CXCL14_CXCR4,B1
1315,3,3.629751029472805e-21,5.7660384,HSP90B1_ERBB2,B1
1316,3,6.792735891862789e-21,6.632146,MDK_ITGA4,B1
1317,3,7.564505577424678e-21,8.857249,GRN_TNFRSF1A,B1
1319,3,8.297766447863673e-20,5.551549,GSTP1_TRAF2,B1
1320,3,1.0428871232668336e-19,6.3209743,IL34_CSF1R,B1
1321,3,1.3222156702223525e-19,7.558845,PSAP_AR,B1
1374,3,2.3070032449195767e-08,5.7455235,CALM3_AQP1,B1
1396,3,7.17028585683634e-07,6.0036645,GAS6_AXL,B1
1420,3,3.523988800101441e-05,7.0657306,B2M_HLA-F,B1
1421,3,5.530328751434817e-05,6.3272552,CCL5_SDC1,B1
1444,3,0.005759236701486289,6.8930225,GNAI2_ADORA1,B1
1908,4,2.6640578032952478e-17,43.276417,AREG_ERBB3,B1
1909,4,2.6640578032952478e-17,21.647232,ADAM9_ITGA3,B1
1910,4,2.6640578032952478e-17,7.3261456,EFNA4_EPHA2,B1
1911,4,2.6640578032952478e-17,10.204638,HRAS_SDC2,B1
1912,4,2.6640578032952478e-17,15.506536,CALM1_PTPRA,B1
1913,4,2.6640578032952478e-17,24.870087,FN1_ITGA3,B1
1915,4,2.6640578032952478e-17,11.721535,EFNA1_EPHA2,B1
1916,4,2.6640578032952478e-17,6.222234,EFNA3_EPHA2,B1
1917,4,2.6640578032952478e-17,23.017576,MDK_ITGA6,B1
1918,4,2.6640578032952478e-17,39.95964,CALM3_ESR1,B1
1919,4,2.6640578032952478e-17,22.15038,CALM3_AR,B1
1920,4,2.6640578032952478e-17,13.918962,ADAM10_TSPAN15,B1
1921,4,2.6640578032952478e-17,17.320097,CDH1_ITGAE,B1
