,gene,input_int_frac,intrinsic,interactions,environmental,noise,scaled_intrinsic,scaled_interactions,scaled_environmental,scaled_noise,label,is_sv
455,HSP90AA1,0.0,0.3947815320626587,4.377819912466824e-07,0.1178749153364607,0.718800467111273,0.32058075850354434,3.554991087850035e-07,0.0957198518625384,0.5836990341348086,0.0,sv
456,HSP90AA1,0.25,0.2321955045498159,3.7535289398399486e-08,0.264807435658583,0.6382310018593376,0.2045353721979069,3.3063923449089334e-08,0.23326242908196088,0.562202165656209,0.0,sv
457,HSP90AA1,0.5,0.0986383281498739,0.0192123693099198,0.2073895606847979,0.7301617945879161,0.09346042855847453,0.018203839247969693,0.19650289683239885,0.691832835361157,0.0,sv
458,HSP90AA1,0.75,1.6263914651238816e-06,2.168725212174647,0.0353906739915635,0.5487483526087512,5.907993868148592e-07,0.7878063510528273,0.012855938402005624,0.19933711974578033,1.0,sv
459,HSP90AA1,0.99,0.0014855121417626,0.8842460189971464,0.1460842010414258,0.2245557853710531,0.0011823828549200135,0.7038093483052708,0.1162746838818325,0.1787335849579767,1.0,sv
460,HSP90AA1,0.01,0.0143769543764721,1.538669351059298e-07,0.2268559320407753,0.7177039171031807,0.014992595984247296,1.6045573582349185e-07,0.23657022528242877,0.7484370182775881,0.0,sv
461,HSP90AA1,0.1,0.0312263482399685,0.0207247043857821,0.1769756831804182,0.76680065111542,0.031360338833813256,0.020813632986288567,0.17773507639230438,0.7700909517875938,0.0,sv
462,HSP90B1,0.0,0.1443502331143111,1.0092690972682993e-08,0.2033263221736778,0.6362389733464494,0.14670998417308662,1.0257680233142464e-08,0.20665017897442373,0.6466398265948095,0.0,sv
463,HSP90B1,0.25,0.02916586093093,0.0120616867559881,0.1803418417309821,0.7343787139444498,0.03050987896554751,0.01261751209460389,0.1886523348879159,0.7682202740519326,0.0,sv
464,HSP90B1,0.5,0.0232631771557222,0.3151295497146244,0.101597997098306,0.4477542781642833,0.026204796534848463,0.35497755431737726,0.11444502289982157,0.5043726262479528,1.0,sv
465,HSP90B1,0.75,0.0723044235867669,0.1576734842869333,0.2120518957518647,0.6413944633333833,0.06673694303499164,0.14553253890971568,0.19572378265725102,0.5920067353980417,0.0,sv
466,HSP90B1,0.99,0.0053688459238018,0.8897165986789808,0.1825030995048131,0.0763056975200713,0.0046528058899302435,0.7710555842829747,0.1581627613007036,0.06612884852639142,1.0,sv
467,HSP90B1,0.01,0.052545313393545,0.0036168964680501,0.6510510396375718,0.2798151003657104,0.05323587048005093,0.0036644301742145987,0.6596072339023491,0.28349246544338536,0.0,sv
468,HSP90B1,0.1,0.0035821955087218,0.2671154512360269,0.0364254253599337,0.6437938381172376,0.0037670962312425452,0.2809030403862404,0.03830558166373645,0.6770242817187806,1.0,sv
469,HSPA8,0.0,2.05651794733071e-09,0.0180719684734822,0.1231903744290302,0.8141603064985549,2.1524693225488247e-09,0.018915155974072572,0.12893809272900528,0.8521467491444529,1.0,sv
470,HSPA8,0.25,1.6943258949866771e-09,0.408328463761727,0.1567446680655201,0.4284013515758288,1.7054548661313258e-09,0.4110105190287739,0.15777422612937322,0.431215253136398,1.0,sv
471,HSPA8,0.5,6.008416173902499e-09,0.8261986828637778,0.0595499280803815,0.1058860691994024,6.059102467681984e-09,0.8331683980013126,0.060052284285722214,0.10677931165386272,1.0,sv
472,HSPA8,0.75,2.869295795410788e-05,0.7765059875015728,0.0626457300229118,0.1323506517485615,2.953375251658765e-05,0.7992600727746403,0.06448144836363097,0.13622894510921216,1.0,sv
473,HSPA8,0.99,1.6193228080381866e-17,0.4224604288270672,0.5857168253037852,0.1260839626271482,1.4276453995902392e-17,0.37245426590055125,0.5163861874585723,0.1111595466408764,0.0,sv
474,HSPA8,0.01,0.0054835102867,4.100085152869418e-09,0.2219612650081425,0.7370121847942858,0.005685593541552995,4.251185179958985e-09,0.23014118125502664,0.7641732209522352,0.0,sv
475,HSPA8,0.1,0.0211678734713886,0.0353061184266542,0.2145524949371867,0.6731735219979961,0.022418844813977847,0.03739262666422018,0.2272320408070269,0.712956487714775,0.0,sv
476,HSPG2,0.0,0.1320710183190056,2.118281226789874e-06,0.1373743910415271,0.7653606415372133,0.12762850376779697,2.0470279322113772e-06,0.1327534852672465,0.7396159639370243,0.0,sv
477,HSPG2,0.25,0.0133632354638108,0.1213570183991309,0.0718404735276116,0.6723857175151672,0.015203697041227805,0.1380710043285381,0.08173475635972054,0.7649905422705136,0.0,sv
478,HSPG2,0.5,0.1165925856146759,0.3070777150203855,0.0889247356806168,0.4661206369289485,0.11912814804339399,0.31375579590175057,0.09085859980745435,0.47625745624740107,1.0,sv
479,HSPG2,0.75,0.0413453250370205,0.7101321508009696,0.1229312152766799,0.4511399898982127,0.031191102695245845,0.5357269491289758,0.0927398722035205,0.34034207597225785,1.0,sv
480,HSPG2,0.99,0.0015993996030986,1.8972251753191,0.0348008304867491,0.0587758569024887,0.0008027497439160899,0.9522304624110105,0.017466777975424362,0.0295000098696491,1.0,sv
481,HSPG2,0.01,0.0207786215549877,2.1110848653499165e-07,0.2355468412345463,0.7140854476506372,0.021412184066715512,2.1754541126660655e-07,0.2427289176762961,0.7358586807115771,0.0,sv
482,HSPG2,0.1,0.0652282529951253,0.0254878249812372,0.1589369907785204,0.7076985647372566,0.06813405932905933,0.026623263688666878,0.16601735999422138,0.7392253169880524,0.0,sv
483,ICAM1,0.0,0.0006063031941227,0.0003729438369569,0.2589049795306977,0.6964128750482986,0.0006340113267120581,0.0003899874174343838,0.27073696981282347,0.7282390314430301,0.0,sv
484,ICAM1,0.25,1.5604016536328635e-06,0.2405176211180697,0.1497872207400623,0.5312815953594284,1.6931662062265675e-06,0.26098172039936646,0.16253165311073425,0.5764849333236931,1.0,sv
485,ICAM1,0.5,0.0031424699503261,1.761269129096871e-07,0.4835613013865246,0.71100065323593,0.002623743741562221,1.4705371658987913e-07,0.40374003832333133,0.5936360708813898,0.0,sv
486,ICAM1,0.75,5.265118665964661e-06,0.3661937253344952,0.1831955143235118,0.4400166192236308,5.3214670203799375e-06,0.3701128039211158,0.18515610940660454,0.4447257652052593,0.0,sv
487,ICAM1,0.99,2.4599791032441243e-09,0.1585932010779338,3.251679981146145,0.0809575634056702,7.046165896052942e-10,0.045426158429863195,0.9313850088325853,0.023188832032934852,0.0,sv
488,ICAM1,0.01,0.0104614708906318,3.3245354865067805e-08,0.2805756741714324,0.7039511488453717,0.010514164443082287,3.3412808932343017e-08,0.28198891033658036,0.7074968918075284,0.0,sv
489,ICAM1,0.1,0.0030277089483699,4.6352353982525774e-08,0.1113105067358811,0.8569309317187391,0.0031172706473510973,4.772348827754708e-08,0.11460314756355737,0.8822795340656032,0.0,sv
490,IL16,0.0,0.0116383463527033,5.873822904982667e-17,4.177782035731425e-09,0.9637985658887734,0.01193141878967081,6.021735292267738e-17,4.282985363182365e-09,0.9880685769273438,0.0,sv
491,IL16,0.25,0.0002465438238558,0.0115045062973262,8.603547014792096e-07,0.966046653286435,0.0002521417324516846,0.011765722229187783,8.798895123846214e-07,0.9879812561488481,0.0,sv
492,IL16,0.5,1.3512658890914238e-06,0.3018955283236827,0.0363641576000769,0.4889917021733959,1.6334377933058897e-06,0.3649374779419064,0.043957736094142184,0.5911031525261582,1.0,sv
493,IL16,0.75,7.415012810068936e-08,0.2619530176370581,3.134471080236084e-06,0.6036520070258957,8.566245704406017e-08,0.30262306614528706,3.621119762624877e-06,0.6973732270724933,0.0,sv
494,IL16,0.99,0.0062147660769387,4.076080131541776,0.2666555495608811,0.1527355219152001,0.0013805418946600517,0.9054563466943473,0.05923459596949641,0.03392851544149632,1.0,sv
495,IL16,0.01,0.0014234546178247,0.0103962124823199,2.668607667548858e-09,0.959606069874328,0.0014653252016440326,0.010702014634839366,2.747104136369038e-09,0.9878326574164125,1.0,sv
496,IL16,0.1,0.0043264322214287,0.0986104282188878,0.0024617139390063,0.8871844472186541,0.00435876105805588,0.09934728488518083,0.0024801088528022004,0.8938138452039611,1.0,sv
497,INHBA,0.0,7.991291264921968e-11,3.970029954941081e-09,2.1372357445403375e-17,0.9757348035112868,8.19002376772389e-11,4.068759179416639e-09,2.1903858794196195e-17,0.9999999958493405,0.0,sv
498,INHBA,0.25,1.685968437325029e-08,0.0398482473408083,9.2933224357912e-05,0.9316489793639134,1.7352670679497616e-08,0.04101343168424377,9.565064219264626e-05,0.9588909003208929,0.0,sv
499,INHBA,0.5,0.0010335759368892,0.1298903350304691,0.002676141340756,0.7634486119225469,0.0011521960603727438,0.14479742316083527,0.002983273313328155,0.8510671074654638,0.0,sv
500,INHBA,0.75,0.1964784616356564,0.2737318633269765,0.0502818633356845,0.5174273157850168,0.1893002885702408,0.26373130310209364,0.04844485833233497,0.49852354999533055,0.0,sv
501,INHBA,0.99,2.338176545584603e-09,1.2016943742693778,0.0091078436257657,0.1755313023728456,1.6865902089628979e-09,0.8668147705252882,0.00656973482733353,0.12661549296078814,1.0,sv
502,INHBA,0.01,0.0068814240280357,0.0078670630997357,0.0041664861899475,0.96136099117521,0.007019884478750105,0.008025355496505645,0.0042503196455527855,0.9807044403791915,0.0,sv
503,INHBA,0.1,8.638609014522295e-19,0.1862663368249317,0.0136076534225812,0.7558101594906129,9.039188331091842e-19,0.1949036581552304,0.014238651364375913,0.7908576904803937,1.0,sv
504,INS,0.0,0.0024515815764339,2.741170449408281e-08,0.2286989748499098,0.7457002030418762,0.0025096786626586927,2.8061301543950426e-08,0.2341186370749392,0.7633716562011006,0.0,sv
505,INS,0.25,2.4413480509167786e-08,0.4406699098583193,0.1846029099205915,0.3332821903768757,2.5469044164102842e-08,0.4597231186171144,0.1925845707998853,0.34769228511395617,1.0,sv
506,INS,0.5,2.767399901673015e-09,0.4092190987790309,0.134990670336289,0.4178324104985685,2.8765889400223878e-09,0.4253650268911433,0.14031678943864423,0.4343181807936235,1.0,sv
507,INS,0.75,9.907443403341e-10,0.3732833780011706,0.1801352302257579,0.3886632525117099,1.0516541933154169e-09,0.3962324222185248,0.19120974253244094,0.4125578341973802,0.0,sv
508,INS,0.99,0.0069562880198079,0.7452052479364577,0.2235919153262769,0.2117586733159832,0.0058578669435983095,0.6275348541711916,0.18828600626024675,0.1783212726249634,0.0,sv
509,INS,0.01,1.097146663958214e-09,5.085754094134071e-09,0.2325987313725657,0.7430685314381927,1.1245090399413042e-09,5.212590660522735e-09,0.23839964582646808,0.7616003478364323,0.0,sv
510,INS,0.1,1.3516277392589195e-09,5.353414580312692e-10,0.1816414324242031,0.7922951922320176,1.3877984485050892e-09,5.496676513043419e-10,0.18650231182793298,0.813497686234601,0.0,sv
511,JAG1,0.0,0.0115206776388402,3.7395949005913335e-08,0.0252469350546434,0.937654423227744,0.011823087709436764,3.8377567616677816e-08,0.02590965018751732,0.9622672237254782,0.0,sv
512,JAG1,0.25,0.047544651910274,0.0157258919937786,2.8229128098703453e-07,0.861168364163829,0.05143080519098501,0.017011277926965412,3.0536490007239836e-07,0.9315576115171494,0.0,sv
513,JAG1,0.5,0.0105271562450084,0.2904650953252253,0.169983703897864,0.4894321074097124,0.010961128557651165,0.30243925113962766,0.1769911254061291,0.5096084948965921,1.0,sv
514,JAG1,0.75,0.0139483689585249,0.328392769731566,0.2300883628112679,0.1789628757897478,0.018563362339143057,0.43704564972494936,0.30621599282225137,0.23817499511365614,1.0,sv
515,JAG1,0.99,0.0012763657818726,3.201309340902944,0.1532033295076615,0.3768376265822302,0.0003419484178800226,0.8576559163629826,0.04104437527480322,0.10095775994433417,1.0,sv
516,JAG1,0.01,5.1271345949391384e-08,0.0050301395683046,2.237020937440331e-18,0.9699764302355404,5.2585638744536715e-08,0.0051590824714170674,2.2943648679774615e-18,0.9948408649429442,0.0,sv
517,JAG1,0.1,0.0034460777478951,0.0401972728010979,3.439874089112708e-09,0.9525962270616354,0.0034590853580233403,0.0403490019526339,3.4528582828293893e-09,0.9561919092364844,0.0,sv
518,JAG2,0.0,1.233618672668678e-09,4.4074462824840087e-10,1.446214236486206e-18,0.975740452946892,1.264289767659086e-09,4.517027311524978e-10,1.482171031893487e-18,0.9999999982840075,0.0,sv
519,JAG2,0.25,2.02899392400591e-09,0.0463969379052951,0.1639756799906681,0.7427305719513069,2.1288292194381014e-09,0.048679868350832836,0.17204399417430147,0.7792761353460365,0.0,sv
520,JAG2,0.5,2.802091294247368e-09,1.2070512062755596,0.3072957677092231,0.5110363576639858,1.3834868918811838e-09,0.5959618536126774,0.15172227522674858,0.25231586977708725,1.0,sv
521,JAG2,0.75,0.0007986956569536,0.4694763211929396,0.0353537091954667,0.2428281176227751,0.001067123193154662,0.6272590399361822,0.04723546787574368,0.3244383689949194,1.0,sv
522,JAG2,0.99,8.73955365621335e-10,0.4342200831158937,0.0485166583569588,0.1396800318336117,1.4041320894221308e-09,0.6976355733465928,0.07794882845316009,0.22441559679611517,1.0,sv
523,JAG2,0.01,1.9486577864190495e-07,0.0007373579017662,6.8766427366014074e-18,0.974536951342152,1.998060831291729e-07,0.0007560516538257249,7.050981757058151e-18,0.9992437485400911,0.0,sv
524,JAG2,0.1,4.1508291125192295e-05,0.0769762342929245,0.176468811415709,0.6952683299895159,4.375027926144677e-05,0.08113395313366807,0.1860004247606107,0.7328218718264599,1.0,sv
525,LAMA4,0.0,2.8896910446354203e-09,3.0550562414967674e-11,0.0593365015025191,0.9157512371104668,2.963518995830746e-09,3.1331090643114824e-11,0.060852474064763046,0.9391475229403868,0.0,sv
526,LAMA4,0.25,0.0011736367464084,0.1725425151763623,0.0671271674230854,0.5243448182822047,0.0015337884746180893,0.22549031629163988,0.0877263565940358,0.6852495386397062,1.0,sv
527,LAMA4,0.5,0.0025972029419627,0.4047003030223491,0.1035234126284945,0.2597909407443404,0.0033703127073553252,0.525167499200516,0.1343392414406154,0.3371229466515133,1.0,sv
528,LAMA4,0.75,0.0013355390204232,0.3864263700696023,0.1571717172929386,0.0590837914913676,0.0022110935560819616,0.6397603092796902,0.2602105711554809,0.09781802600874705,1.0,sv
529,LAMA4,0.99,0.0049380036145737,0.3010279608817685,0.1550122915037757,0.0610675786971978,0.009458946487786411,0.5766312857496616,0.29693234042112887,0.11697742734142305,0.0,sv
530,LAMA4,0.01,1.698943079053571e-09,0.0331372302396034,0.1825197206677405,0.772693150190174,1.7189688899171878e-09,0.03352782596556033,0.18467112023493995,0.7818010520805309,1.0,sv
531,LAMA4,0.1,1.9136306914790243e-09,0.0267780446707027,0.3836722148117241,0.5616642783031423,1.9685238861576504e-09,0.027546182653526197,0.39467799229753664,0.5777758230804133,0.0,sv
532,LAMA5,0.0,0.0267746024843864,9.18880765324899e-08,0.0460799769376234,0.8889567328814598,0.027837684568620687,9.553648057409626e-08,0.04790957638556602,0.9242526435093327,0.0,sv
533,LAMA5,0.25,6.933785400572619e-08,0.121969770640911,1.0282319782179892,0.3538273356424243,4.610140290747336e-08,0.08109535000007911,0.6836516270933504,0.23525297680516774,0.0,sv
534,LAMA5,0.5,4.363357340840607e-08,0.0766892838275274,2.354920466443944,0.5162412125888252,1.4801824553644317e-08,0.026015318840262723,0.7988600717119863,0.17512459464592642,0.0,sv
535,LAMA5,0.75,0.0139733977865349,0.0018391165526199,2.849505750389474,0.2725805691757952,0.004453106529616216,0.0005860981025737928,0.9080935687285661,0.08686722663924405,0.0,sv
536,LAMA5,0.99,7.536722334577505e-08,1.4286279463567462,0.1396332783623418,0.0416066313938238,4.681578027116881e-08,0.887419345662253,0.08673585927881737,0.025844748243149415,1.0,sv
537,LAMA5,0.01,0.0130303034881483,2.604593573319319e-07,0.0706004478563738,0.864760868684599,0.013739366348683748,2.746326309729474e-07,0.07444227360952348,0.9118180854091618,0.0,sv
