,ligand,receptor,spc
LAMB3_ITGB1,LAMB3,ITGB1,0.9476309226932669
LAMB3_ITGA6,LAMB3,ITGA6,0.20985556499575192
AFDN_EPHB6,AFDN,EPHB6,0.17351902913644426
SPP1_CD44,SPP1,CD44,0.007600000000000001
SPP1_ITGB1,SPP1,ITGB1,0.41401273885350315
LGALS9_CD44,LGALS9,CD44,0.6118783674986065
LGALS9_SLC1A5,LGALS9,SLC1A5,0.4911513223304832
MDK_ITGA6,MDK,ITGA6,0.9709119496855346
LRPAP1_LDLR,LRPAP1,LDLR,0.4563932002956393
HSPA8_LDLR,HSPA8,LDLR,0.2579365079365079
S100A10_CFTR,S100A10,CFTR,0.3352789466539976
HSP90AA1_CFTR,HSP90AA1,CFTR,1.0
PLAU_ITGA3,PLAU,ITGA3,0.34180937554056395
LAMA4_ITGA3,LAMA4,ITGA3,0.9709119496855346
LGALS8_ITGA3,LGALS8,ITGA3,0.7875019926669855
NID1_ITGA3,NID1,ITGA3,0.9592233009708738
LAMC3_ITGA3,LAMC3,ITGA3,0.8977737392094502
THBS1_ITGA3,THBS1,ITGA3,1.0
CALR_ITGA3,CALR,ITGA3,0.9070877708409841
TIMP2_ITGA3,TIMP2,ITGA3,0.577980577980578
LAMB2_ITGA3,LAMB2,ITGA3,0.8648459383753502
LAMA5_ITGA3,LAMA5,ITGA3,0.8728686279706689
ADAM9_ITGA3,ADAM9,ITGA3,0.8125
LAMC1_ITGA3,LAMC1,ITGA3,0.5068486123223721
LAMB3_ITGA3,LAMB3,ITGA3,0.7133574007220217
COL18A1_ITGA3,COL18A1,ITGA3,0.1735617039964866
LAMB1_ITGA3,LAMB1,ITGA3,0.9070877708409841
LAMC2_ITGA3,LAMC2,ITGA3,0.9070877708409841
FN1_ITGA3,FN1,ITGA3,0.48120007792713815
APP_CD74,APP,CD74,1.0
SLPI_CD4,SLPI,CD4,0.4676923076923077
IL16_CD4,IL16,CD4,0.834177642688281
CALM1_SCTR,CALM1,SCTR,0.45233952934712934
CALM2_KCNQ1,CALM2,KCNQ1,0.09396100808368997
CALM1_KCNQ1,CALM1,KCNQ1,0.9592233009708738
CALM3_KCNQ1,CALM3,KCNQ1,0.05135802469135803
LTB_TNFRSF1A,LTB,TNFRSF1A,0.007600000000000001
LAMC3_ITGB4,LAMC3,ITGB4,1.0
LAMB2_ITGB4,LAMB2,ITGB4,0.0104
LAMA5_ITGB4,LAMA5,ITGB4,0.07360390964896597
LAMC1_ITGB4,LAMC1,ITGB4,0.0755952745302075
LAMB3_ITGB4,LAMB3,ITGB4,0.1566414053334179
LAMB1_ITGB4,LAMB1,ITGB4,0.4911513223304832
LAMC2_ITGB4,LAMC2,ITGB4,0.5574362446400362
HBEGF_CD82,HBEGF,CD82,0.47198203793054033
LTB_LTBR,LTB,LTBR,0.9592233009708738
CD55_ADGRE5,CD55,ADGRE5,0.05670209591148045
AGRN_LRP1,AGRN,LRP1,0.007600000000000001
GPC3_LRP1,GPC3,LRP1,0.8728686279706689
PDGFB_LRP1,PDGFB,LRP1,0.2579365079365079
A2M_LRP1,A2M,LRP1,0.6401866131017948
SERPINA1_LRP1,SERPINA1,LRP1,0.4630671166104237
HSPG2_LRP1,HSPG2,LRP1,0.8977737392094502
APOE_LRP1,APOE,LRP1,0.8292764814503945
HSP90B1_LRP1,HSP90B1,LRP1,0.15654709088604385
MDK_LRP1,MDK,LRP1,0.509278350515464
PLAU_LRP1,PLAU,LRP1,0.9592233009708738
LRPAP1_LRP1,LRPAP1,LRP1,0.8648459383753502
C3_LRP1,C3,LRP1,0.0092625
THBS1_LRP1,THBS1,LRP1,0.8728686279706689
HSP90AA1_LRP1,HSP90AA1,LRP1,0.9070877708409841
CALR_LRP1,CALR,LRP1,0.08468184311574328
C1QB_LRP1,C1QB,LRP1,0.08468184311574328
VWF_LRP1,VWF,LRP1,0.23337112622826908
APP_LRP1,APP,LRP1,0.0927960927960928
PSAP_LRP1,PSAP,LRP1,0.6053921568627452
COL4A2_CD93,COL4A2,CD93,0.577980577980578
COL1A2_CD93,COL1A2,CD93,0.02966325599269828
COL4A1_CD93,COL4A1,CD93,0.7222222222222223
C1QA_CD93,C1QA,CD93,0.7891373801916932
HLA-B_CANX,HLA-B,CANX,0.0755952745302075
GSTP1_TRAF2,GSTP1,TRAF2,0.9070877708409841
S100A9_CD68,S100A9,CD68,0.6323604710701485
AFDN_NECTIN2,AFDN,NECTIN2,0.0054888888888888895
LRPAP1_SORT1,LRPAP1,SORT1,0.9709119496855346
PSAP_SORT1,PSAP,SORT1,0.7133574007220217
PSEN1_NOTCH2,PSEN1,NOTCH2,0.9070877708409841
