,Ligand0,Receptor0,Receptor1,perm_pval,fdr,selected
THBS1_SDC4,THBS1,SDC4,,0.0,0.0,True
COMP_SDC1,COMP,SDC1,,1.0,1.0,False
COL1A1_SDC4,COL1A1,SDC4,,0.0,0.0,True
COL1A2_SDC4,COL1A2,SDC4,,0.0,0.0,True
COL4A1_SDC4,COL4A1,SDC4,,1.0,1.0,False
COL4A2_SDC4,COL4A2,SDC4,,1.0,1.0,False
COL6A1_SDC4,COL6A1,SDC4,,1.0,1.0,False
COL6A2_SDC4,COL6A2,SDC4,,0.0,0.0,True
COL6A3_SDC4,COL6A3,SDC4,,0.0,0.0,True
FN1_SDC4,FN1,SDC4,,1.0,1.0,False
THBS1_CD47,THBS1,CD47,,0.0,0.0,True
THBS2_CD47,THBS2,CD47,,1.0,1.0,False
COMP_CD47,COMP,CD47,,1.0,1.0,False
THBS1_SDC1,THBS1,SDC1,,0.0,0.0,True
COL4A1_ITGAV_ITGB8,COL4A1,ITGAV,,1.0,1.0,False
COL4A2_ITGAV_ITGB8,COL4A2,ITGAV,,1.0,1.0,False
COL6A1_ITGAV_ITGB8,COL6A1,ITGAV,,1.0,1.0,False
COL6A2_ITGAV_ITGB8,COL6A2,ITGAV,,0.0,0.0,True
COL6A3_ITGAV_ITGB8,COL6A3,ITGAV,,0.0,0.0,True
LAMA4_ITGA6_ITGB4,LAMA4,ITGA6,ITGB4,1.0,1.0,False
LAMA5_ITGA6_ITGB4,LAMA5,ITGA6,ITGB4,1.0,1.0,False
LAMB1_ITGA6_ITGB4,LAMB1,ITGA6,ITGB4,1.0,1.0,False
LAMB2_ITGA6_ITGB4,LAMB2,ITGA6,ITGB4,1.0,1.0,False
LAMB3_ITGA6_ITGB4,LAMB3,ITGA6,ITGB4,0.0,0.0,True
LAMC1_ITGA6_ITGB4,LAMC1,ITGA6,ITGB4,0.0,0.0,True
COL1A2_ITGAV_ITGB8,COL1A2,ITGAV,,0.050000000000000044,0.0854938271604939,True
