,SOMDE,SpatialDE,SPARKX,nnSVG,scGCO
MDK_SDC4,0.0001931691420689,1.1633791573193306e-14,9.63332521743248e-07,0,1.6991934295325183e-19
DKK1_LRP5,0.0001982375630186,1.980179353822109e-11,9.08272073136328e-16,0,4.536063801225179e-28
MMP2_PECAM1,0.00019916521917,3.946695302867731e-05,2.0621085157585103e-09,0,2.159501960979027e-17
MMP7_SDC1,0.00019916521917,1.552552299420386e-07,7.11369269739303e-11,0,1.5223675216041309e-15
HSP90B1_LRP1,0.0002028469783708,0.0003748565921816,0.0008125864898078,0,9.271500750091611e-19
THBS1_SDC1,0.0002032297828038,1.1068295366900573e-07,8.43091585504162e-12,0,2.3253485815417408e-10
GPC3_LRP1,0.0002099040438806,3.517845700580436e-06,5.34118460110135e-21,0,3.9088587358805415e-14
CALM3_KCNQ1,0.0002138400573212,1.041204287539468e-11,5.7215653939803995e-12,0,7.56567101782823e-13
JAG1_CD46,0.0002145732960649,4.980227982534754e-09,4.1409672696398e-15,0,2.4787252603118636e-08
SPON2_ITGB2,0.0002181739708417,4.2800981832809747e-08,3.08256070892761e-08,0,1.4958500523891965e-17
FBN1_ITGB6,0.0002184633225335,0.0282523358241957,0.0001537823258359,0,4.5915030568503806e-21
JAG1_NOTCH1,0.0002275399063101,0.0508247289175823,0.0004947656538107,0,1.23466754481869e-12
LRPAP1_LRP8,0.0002372034579199,6.904752584383657e-08,1.40995830975506e-10,0,5.530949226315577e-23
ICAM1_MUC1,0.0002372034579199,0.0,7.0929185484874e-17,0,3.204590490055219e-17
LAMA5_ITGA3,0.0002378411040919,8.587143083919428e-07,3.4812268203689e-16,0,5.975642528294152e-13
CXCL17_GPR35,0.0002463657252218,3.3115990749343904e-06,4.6610218224932997e-17,0,2.0892246453729962e-14
JAG2_NOTCH1,0.000249146319824,0.0355273723152703,0.0001349527167865,0,2.0836312942591427e-11
PSAP_LRP1,0.0002512027352612,0.0001775778052921,1.58476209332768e-05,0,1.5570829841368556e-17
SERPINE1_LRP1,0.0002512027352612,0.0568745910849273,1.08417289051525e-06,0,2.5001908500723616e-10
FGF19_FGFR4,0.0002512027352612,0.0019077274843173,3.94429916452617e-14,0,2.517694260108405e-09
JAG1_NOTCH2,0.0002560548097165,0.0008842009635946,0.0002490200826558,0,2.544533851726454e-11
ADAM10_MET,0.000268108816201,0.0036997080860378,3.35938671358007e-08,0,1.0422547881294635e-16
VEGFA_ITGAV,0.0002791510125205,1.9710691307639893e-08,2.25326521175794e-21,0,1.3799323717867388e-21
FN1_PLAUR,0.0002803458978662,2.435337047526721e-05,8.61049625634452e-06,0,5.43880755278248e-13
THBS1_LRP1,0.0002855213809402,0.0159915937046538,0.004432143243309,0,1.5236016007236878e-10
CALM3_INSR,0.000297000476774,6.783236486645172e-05,7.29380091143378e-06,0,1.2851211678202412e-13
LTB_LTBR,0.0003041192939913,0.0008319973161311,5.52698404337402e-06,0,2.355549469165783e-12
ADAM10_NOTCH1,0.0003099552393325,0.0339694838316948,6.26303870796303e-10,0,2.517353038225593e-13
