"","ligand","receptor","species","celltype_sender","celltype_receiver","lr_co_exp_num","lr_co_ratio","lr_co_ratio_pvalue","score"
"326","FN1","ITGA5","Human","TDuct_epithelium","TCancer_region",10,0.0714285714285714,0.637,0.431806371136267
"364","SEMA4D","PLXNB1","Human","TDuct_epithelium","TCancer_region",4,0.0285714285714286,0.203,0.652334103343943
"383","VIM","CD44","Human","TDuct_epithelium","TCancer_region",1,0.00714285714285714,0.999,0.0227265046390306
"384","SEMA4D","PLXNB2","Human","TDuct_epithelium","TCancer_region",4,0.0285714285714286,0.403,0.578967151183071
"41","GRN","TNFRSF1A","Human","TDuct_epithelium","TPancreatic_tissue",26,0.366197183098592,0.295,0.829892541846402
"6","ICAM3","ITGB2","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.042,0.912033259635421
"7","EFNB1","EPHB6","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.125,0.708319938102785
"8","EFNB1","EPHB4","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.022,0.747474230173076
"9","EFNB1","ERBB2","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.244,0.869416144228432
"10","EFNB1","EPHB3","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.033,0.699788951077874
"114","SEMA4G","PLXNB2","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.669,0.467968589674436
"12","VCL","ITGB5","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.458,0.590637888422856
"14","LGALS1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.391,0.693100721145397
"15","MMP2","PECAM1","Human","TDuct_epithelium","TPancreatic_tissue",7,0.0985915492957746,0.176,0.835004647668284
"16","MMP2","FGFR1","Human","TDuct_epithelium","TPancreatic_tissue",9,0.126760563380282,0.048,0.970758018412445
"17","PLAT","ITGB2","Human","TDuct_epithelium","TPancreatic_tissue",6,0.0845070422535211,0,0.931811190454803
"184","TGFB1","SMAD3","Human","TDuct_epithelium","TPancreatic_tissue",6,0.0845070422535211,0.022,0.884457591729799
"19","TGFB1","ITGB6","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.058,0.789881280367194
"20","TGFB1","ITGAV","Human","TDuct_epithelium","TPancreatic_tissue",9,0.126760563380282,0.001,0.906298338139064
"21","TGFB1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.151,0.818354640659913
"22","TGFB1","CXCR4","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.006,0.853825145995399
"23","TGFB1","ITGB5","Human","TDuct_epithelium","TPancreatic_tissue",11,0.154929577464789,0.002,0.801469371314474
"24","COMP","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.219,0.784897997973219
"26","LAMB1","ITGAV","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.095,0.862606505490278
"27","LAMB1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.049,0.866119791882444
"28","LAMB1","ITGA6","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.063,0.696951088133378
"29","LAMB1","ITGA1","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.704,0.390446572851668
"30","LAMB1","ITGA2","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.168,0.801412306830048
"31","PDAP1","PDGFRB","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.516,0.695188565439464
"32","SERPINE1","ITGAV","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.007,0.903572622678492
"33","SERPINE1","ITGB5","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.085,0.767418397701859
"3410","COL1A1","ITGA5","Human","TDuct_epithelium","TPancreatic_tissue",18,0.253521126760563,0.027,0.820678004891579
"35","COL1A1","ITGA1","Human","TDuct_epithelium","TPancreatic_tissue",9,0.126760563380282,0.022,0.709716965554726
"36","COL1A1","CD44","Human","TDuct_epithelium","TPancreatic_tissue",16,0.225352112676056,0.001,0.883186845428731
"37","COL1A1","ITGAV","Human","TDuct_epithelium","TPancreatic_tissue",21,0.295774647887324,0,0.906751827453477
"38","COL1A1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",10,0.140845070422535,0.025,0.876980652417272
"40","COL1A1","ITGA2","Human","TDuct_epithelium","TPancreatic_tissue",12,0.169014084507042,0.005,0.876407094657537
"44","HBEGF","CD44","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.386,0.692395175819161
"451","HBEGF","ERBB2","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.911,0.298305874488324
"47","FGF23","FGFR4","Human","TDuct_epithelium","TPancreatic_tissue",7,0.0985915492957746,0,0.996860156303408
"48","FGF23","FGFR1","Human","TDuct_epithelium","TPancreatic_tissue",9,0.126760563380282,0,0.994929967929448
"491","FGF23","FGFR3","Human","TDuct_epithelium","TPancreatic_tissue",13,0.183098591549296,0,0.99706692622123
"50","TGFB3","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.025,0.876980652417272
"51","TGFB3","ITGB6","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.143,0.753402021303151
"52","TGFB3","ITGB5","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.306,0.668346063960989
"53","TNFSF10","RIPK1","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.5,0.591151987532617
"551","INHBA","SMAD3","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.181,0.809374537388965
"57","C3","ITGAX","Human","TDuct_epithelium","TPancreatic_tissue",10,0.140845070422535,0.024,0.911709575625658
"58","C3","ADRA2A","Human","TDuct_epithelium","TPancreatic_tissue",19,0.267605633802817,0,0.82750650590155
"59","C3","ITGB2","Human","TDuct_epithelium","TPancreatic_tissue",6,0.0845070422535211,0.097,0.885465810449555
"621","LAMA5","SDC1","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.198,0.836118273510012
"63","LAMA5","ITGA6","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.01,0.716390968912342
"64","LAMA5","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.509,0.622341053149777
"65","LAMA5","ITGA2","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.498,0.622509814315211
"69","JAG1","NOTCH2","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.261,0.799766585767992
"701","JAG1","NOTCH3","Human","TDuct_epithelium","TPancreatic_tissue",7,0.0985915492957746,0.073,0.944810447193233
"71","LAMC1","ITGA6","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.355,0.578245634009694
"72","LAMC1","ITGA1","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.403,0.554501755207093
"74","LAMC1","ITGAV","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.051,0.883327082050652
"75","LAMC1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.147,0.820280183652861
"76","LAMC1","ITGA2","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.031,0.864880753568364
"77","IL1RN","IL1R1","Human","TDuct_epithelium","TPancreatic_tissue",10,0.140845070422535,0,0.863702896506605
"78","CCL21","ADRA2A","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.404,0.638843597695397
"79","MMP7","CD44","Human","TDuct_epithelium","TPancreatic_tissue",7,0.0985915492957746,0.017,0.876085730438796
"801","MMP7","SDC1","Human","TDuct_epithelium","TPancreatic_tissue",14,0.197183098591549,0.047,0.911437685011344
"81","THBS1","SDC1","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.656,0.547595350845127
"82","THBS1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.083,0.850496189619251
"84","THBS1","SDC4","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.883,0.283241653236256
"85","THBS1","ITGA6","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.034,0.707654166840055
"99","SEMA7A","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.086,0.849103834759859
"100","SEMA7A","ITGA1","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.064,0.694310421490443
"1011","TIMP2","CD44","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.915,0.257619842632663
"102","TIMP2","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",6,0.0845070422535211,0.182,0.803275195004152
"103","LGALS3BP","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",10,0.140845070422535,0.062,0.86017957022219
"104","LAMC2","ITGA6","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.23,0.631797448411553
"105","LAMC2","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.888,0.297232788418038
"106","LAMC2","ITGA2","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.756,0.433999528191532
"107","NID1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.417,0.678144090829195
"108","NID1","PTPRF","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.716,0.524027762885206
"109","ICAM1","ITGAX","Human","TDuct_epithelium","TPancreatic_tissue",6,0.0845070422535211,0.001,0.922389501988347
"110","ICAM1","ITGB2","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.007,0.928544123881143
"1111","VCAN","CD44","Human","TDuct_epithelium","TPancreatic_tissue",6,0.0845070422535211,0.051,0.860801378804221
"112","VCAN","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.304,0.740955838014863
"113","TIMP3","CD44","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.748,0.443578122254703
"115","LUM","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.011,0.883254482597212
"117","CALM2","INSR","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.046,0.906151073282502
"118","CALM2","AQP1","Human","TDuct_epithelium","TPancreatic_tissue",6,0.0845070422535211,0.081,0.679184835603948
"122","CALM3","INSR","Human","TDuct_epithelium","TPancreatic_tissue",13,0.183098591549296,0,0.927740299052141
"123","CALM3","AQP1","Human","TDuct_epithelium","TPancreatic_tissue",17,0.23943661971831,0,0.708484290661099
"125","FGF19","FGFR1","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.007,0.991441597673057
"1261","FGF19","FGFR3","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.287,0.841916605534486
"129","VCAM1","EZR","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.968,0.126763820696927
"131","COL6A3","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.371,0.704389749124764
"132","COL6A3","ITGA2","Human","TDuct_epithelium","TPancreatic_tissue",6,0.0845070422535211,0.1,0.83351918222989
"133","LIPH","LPAR4","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.27,0.652802935321748
"134","LIPH","LPAR2","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.002,0.758261104025552
"1351","COL1A2","CD44","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.879,0.307370747230106
"136","COL1A2","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",6,0.0845070422535211,0.133,0.826984277968703
"139","COL6A2","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",7,0.0985915492957746,0.112,0.836939735272609
"140","CD14","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.368,0.706067535739333
"141","CD14","ITGB2","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.105,0.881534755252357
"142","COL3A1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.268,0.759876904586466
"145","FGA","ITGAX","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.024,0.911709575625658
"146","FGA","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.37,0.704949455012937
"147","FGA","ITGB2","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.155,0.856557015022931
"1481","SEMA4C","PLXNB2","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.866,0.297752287216056
"149","HAS2","CD44","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.194,0.793299843575006
"150","EFEMP2","AQP1","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.499,0.501474770100046
"1531","AGTRAP","RACK1","Human","TDuct_epithelium","TPancreatic_tissue",8,0.112676056338028,0.851,0.386005060249058
"1541","PKM","CD44","Human","TDuct_epithelium","TPancreatic_tissue",8,0.112676056338028,0.412,0.67757677395285
"155","MMP1","CD44","Human","TDuct_epithelium","TPancreatic_tissue",17,0.23943661971831,0,0.88362877032275
"156","FBN1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.124,0.831265502150978
"163","FBLN1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",10,0.140845070422535,0.006,0.885484363658113
"164","COL7A1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.71,0.478284936817787
"165","HSP90AA1","FGFR3","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.657,0.583944228663952
"166","FGG","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.54,0.60237455744322
"168","CXCL14","CXCR4","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.325,0.703602923458173
"1691","HMGB1","SDC1","Human","TDuct_epithelium","TPancreatic_tissue",10,0.140845070422535,0.044,0.91287113966117
"170","HMGB1","CXCR4","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.002,0.855541379176422
"172","FN1","CD44","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.867,0.32225203474563
"173","FN1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.101,0.842107529024093
"174","COL18A1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",7,0.0985915492957746,0.117,0.834580159854786
"175","ADAM15","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",9,0.126760563380282,0,0.888152830873689
"176","CALM1","PTPRA","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.392,0.777511060927968
"178","LAMC3","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.385,0.696506642005805
"179","COL6A1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.157,0.815457800982787
"180","COL6A1","ITGA6","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.015,0.714579610845734
"181","TGM2","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",6,0.0845070422535211,0.107,0.839292677040095
"1821","TGM2","SDC4","Human","TDuct_epithelium","TPancreatic_tissue",7,0.0985915492957746,0.999,0.026185700104885
"183","THBS2","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.117,0.834580159854786
"185","THBS2","ITGA6","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.718,0.382346447340079
"187","SEMA4A","PLXNB2","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.275,0.692582813590444
"188","EFNA1","EPHB6","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.262,0.650509466643652
"192","COL5A1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",6,0.0845070422535211,0.026,0.876530803373866
"193","CEL","CXCR4","Human","TDuct_epithelium","TPancreatic_tissue",10,0.140845070422535,0.001,0.855969899803932
"194","SPTAN1","PTPRA","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.369,0.792080763327368
"195","PLAU","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.085,0.84956820659373
"196","PLAU","ITGB2","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.407,0.717555121319248
"197","COL16A1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.022,0.878328817167688
"198","HSPG2","SDC1","Human","TDuct_epithelium","TPancreatic_tissue",21,0.295774647887324,0.559,0.620011615386869
"199","HSPG2","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",10,0.140845070422535,0.021,0.878777745802759
"200","HSPG2","FGFR1","Human","TDuct_epithelium","TPancreatic_tissue",19,0.267605633802817,0,0.994929967929448
"201","COL5A2","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.683,0.500054494993792
"202","COL4A1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.735,0.457204652767304
"203","AGRN","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.009,0.884147109891814
"204","ZG16B","CXCR4","Human","TDuct_epithelium","TPancreatic_tissue",5,0.0704225352112676,0.004,0.854683693367657
"205","LAMB3","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.943,0.212043582091913
"206","LAMB3","ITGA6","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.544,0.486199968498911
"2081","SPP1","CD44","Human","TDuct_epithelium","TPancreatic_tissue",10,0.140845070422535,0.069,0.852598743421482
"209","SPP1","ITGB1","Human","TDuct_epithelium","TPancreatic_tissue",9,0.126760563380282,0.022,0.878328817167688
"2101","LGALS9","CD44","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.292,0.743509422300352
"211","LGALS9","SLC1A5","Human","TDuct_epithelium","TPancreatic_tissue",4,0.0563380281690141,0.608,0.473382841718155
"212","MDK","ITGA6","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.403,0.556313591659535
"2131","S100A10","CFTR","Human","TDuct_epithelium","TPancreatic_tissue",17,0.23943661971831,0,0.832566429673607
"2141","HSP90AA1","CFTR","Human","TDuct_epithelium","TPancreatic_tissue",6,0.0845070422535211,0.283,0.704982722122004
"2151","PLAU","ITGA3","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.976,0.124672684170343
"2171","LGALS8","ITGA3","Human","TDuct_epithelium","TPancreatic_tissue",1,0.0140845070422535,0.768,0.387623127607606
"220","THBS1","ITGA3","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.88,0.278776596742249
"2211","CALR","ITGA3","Human","TDuct_epithelium","TPancreatic_tissue",18,0.253521126760563,0.529,0.552301398013733
"2221","TIMP2","ITGA3","Human","TDuct_epithelium","TPancreatic_tissue",6,0.0845070422535211,0.996,0.0508974101800838
"2231","LAMB2","ITGA3","Human","TDuct_epithelium","TPancreatic_tissue",3,0.0422535211267606,0.988,0.0881569004055785
"2241","LAMA5","ITGA3","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.69,0.448070689886737
"2251","ADAM9","ITGA3","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.593,0.513408309671054
"2261","LAMC1","ITGA3","Human","TDuct_epithelium","TPancreatic_tissue",2,0.028169014084507,0.659,0.469940504158913
